,,,,,Label,S4.1 B,S4.2 B,S4.3 B,S4.4 B,S4.5 B,S4.6 B,SR.1 B,SR.2 B,SR.3 B,SR.4 B,SR.5 B,SR.6 B,S30.1 B,S30.2 B,S30.3 B,S30.4 B,S30.5 B,S30.6 B,PR.1 B,PR.2 B,PR.3 B,PR.4 B,PR.5 B,PR.6 B,P4.1 B,P4.2 B,P4.3 B,P4.4 B,P4.5 B,P4.6 B,P30.1 B,P30.2 B,P30.3 B,P30.4 B,P30.5 B,P30.6 B,TR.1 B,TR.2 B,TR.3 B,TR.4 B,TR.5 B,TR.6 B,T4.1 B,T4.2 B,T4.3 B,T4.4 B,T4.5 B,T4.6 B,T30.1 B,T30.2 B,T30.3 B,T30.4 B,T30.5 B,T30.6 B,Biorec001,Biorec002,Biorec003,Biorec004,Biorec005,Biorec006,Biorec007,PoolQC001,PoolQC002,PoolQC003,PoolQC004,PoolQC005,PoolQC006,PoolQC007
8.95_722.67,Cer 43:1;2O|Cer 18:1;2O/25:0,[M-H]-,,722.6676,8.952,58257,42465,38226,39571,31108,42237,46688,38401,58768,20336,42310,26441,32356,17131,73394,50495,13564,69142,26060,37257,40335,114137,124693,97412,129097,80396,61511,26910,134986,48199,113606,33018,142823,94026,35184,129760,172788,150886,101461,66593,103511,191594,109006,103214,141411,117830,140689,52439,106520,156220,35292,24771,108901,50346,9346,15377,6558,5791,12270,6982,7371,103939,102003,100072,100288,99967,44748,102254
8.25_720.65,Cer 43:2;2O|Cer 17:1;2O/26:1,[M+CH3COO]-,NZZFYKXWXQOTDS-NZKWQJBINA-N,720.6523,8.247,56455,48140,34887,32054,57953,61966,40784,45506,55555,37551,31350,41166,45460,35866,47867,41991,37525,36468,44033,44729,38193,47964,28530,35664,54851,62152,38515,28577,53527,25542,47470,37969,39155,36013,40119,48123,38846,31664,48572,24314,38744,40375,30996,27770,43765,34829,32682,73291,32419,36986,23565,42126,49559,31276,2226,2674,2243,2372,3185,2549,2880,40498,42496,42109,41842,42660,46582,45978
8.25_718.64,Cer 43:3;2O|Cer 19:3;2O/24:0,[M+CH3COO]-,MILKCDVENWVMCN-LOXIQTPCNA-N,718.6376,8.249,33697,11108,17482,15312,11109,11704,15595,15450,15393,10889,15461,11916,12934,14206,35031,23251,11448,15922,27776,40330,47625,55293,71684,34015,51004,50688,35762,28051,67176,20307,39900,36036,55232,35299,32070,41677,38672,38688,33346,8888,28076,30474,27530,21662,16074,19489,22568,32415,23415,25942,13048,24651,17118,17887,11,11,198,158,12,260,150,27625,29397,29682,29059,30210,30778,31568
7.55_716.62,Cer 43:4;2O|Cer 19:3;2O/24:1,[M+CH3COO]-,JIDIMSKRDPEDAK-JIEJFRBPNA-N,716.6215,7.552,323057,141020,206610,177080,93859,90798,153248,157262,172509,103069,130100,106700,137763,157266,312741,212220,121402,139907,256752,279329,355328,381682,487534,295619,346162,365022,355616,180138,534936,193769,294084,301741,398070,313119,261689,285255,193519,237916,135279,66744,191380,164567,198947,117097,103745,128127,145873,169421,162338,144488,82852,178247,77527,108773,9,10,8,9,10,105,9,213039,216842,221889,228181,231704,236642,243947
8.64_734.67,Cer 44:2;2O|Cer 18:1;2O/26:1,[M+CH3COO]-,AQKMDEJRGNVGLA-GHFDWVPINA-N,734.668,8.641,340030,170111,200507,198577,435942,227675,158639,174219,231243,172822,209511,387320,130749,169689,331195,224862,160388,252838,324971,554897,536756,635183,768627,414518,654526,579248,324404,387261,697135,186162,462653,454704,684561,462290,406425,537675,884797,677057,971800,262082,556101,1051951,476911,561244,528242,650412,619475,384157,419137,765297,371277,570289,594290,494909,5078,5343,6202,5788,6862,7063,6762,446351,442535,451088,457375,456528,459183,470654
8.09_732.65,Cer 44:3;2O|Cer 18:1;2O/26:2,[M+CH3COO]-,JZQKFRLGUWODQG-QFFRIRBTNA-N,732.6523,8.085,45566,26177,30335,33936,51104,44180,32879,47102,36891,37658,40795,52134,29581,36152,53620,38042,32455,38310,22499,29827,27548,42280,34210,38368,43420,34853,26884,49946,41357,21148,41153,31971,47995,29109,25857,44156,78194,52156,49073,28859,34150,58171,53241,49569,43911,40145,52067,35281,36564,48843,32833,51862,29385,63119,477,239,563,601,160,721,486,40446,41664,41885,41661,41021,43990,42993
9.23_762.70,Cer 46:2;2O|Cer 18:1;2O/28:1,[M+CH3COO]-,KFZMUAGKFGPIPH-KTWZRITNNA-N,762.6997,9.234,19930,12373,16013,17978,18195,20020,12723,12589,22799,10798,18752,36068,12887,11385,25303,20496,9815,19995,17249,38467,51680,84679,109682,46003,76912,27423,25359,39432,98569,19032,41329,45179,82968,60106,29706,64731,94950,59468,30682,20073,32229,109894,55106,57430,31424,62672,62879,8245,50963,61045,36353,38288,29422,57752,335,388,351,259,258,210,114,47411,44384,41639,42133,40991,40549,40860
5.23_568.50_5.23_544.45,Cer d32:1 ,[M+CH3COO]-_[M+Cl]-,ZKRPGPZHULJLKJ-JHRQRACZSA-N,568.4957_544.4513,5.231,285713,356821,184767,253861,571178,243969,225965,269589,314700,239875,332511,130541,488551,301604,285681,262540,307695,559936,467383,188279,337723,210958,152561,185511,250106,423873,449063,278794,217479,320372,301375,136585,308720,215367,336327,235535,112285,102105,159599,265870,137213,126634,90979,51654,373770,141560,128045,371056,184247,89228,172928,84704,536652,194957,7368,9454,8422,8168,10291,10039,9856,336265,277476,262530,256525,247483,242563,237957
5.58_582.51_5.58_558.47,Cer d33:1 ,[M+CH3COO]-_[M+Cl]-,QBFXCLDNTKBAPQ-STSAHMJASA-N,582.5118_558.4671,5.5795,64589,78607,44565,62727,144709,70059,62428,86377,82845,65259,66904,40819,97069,76142,62252,60837,72048,103011,89955,45233,66453,44721,28181,41729,44135,93366,83155,81264,44498,61748,64511,34921,57408,42893,62637,53401,34554,34369,40933,65961,38002,34278,32845,21307,82668,38075,40597,75056,44464,29757,42878,29084,93321,51042,12049,14673,14502,13152,16737,17364,17071,68783,62971,60833,60319,58426,59367,58259
6.19_598.54_6.19_574.50,Cer d34:0 ,[M+CH3COO]-_[M+Cl]-,GCGTXOVNNFGTPQ-JHOUSYSJSA-N,598.5427_574.5033,6.1895,28474,29941,15892,40415,43975,35282,28083,41713,39292,31315,29220,28288,32947,28748,18577,30874,27165,36604,48270,33440,19907,29156,10855,20000,31055,47450,45590,73784,30064,39584,49248,16263,24291,23564,40234,39983,91939,27650,38237,35375,29766,41695,63793,26044,86474,38909,46534,47071,51792,54421,23838,37161,57706,57306,13178,14241,15732,15297,17590,17738,16469,41905,39211,37509,35436,34500,36230,34954
5.94_596.53_5.95_572.48,Cer d34:1 ,[M+CH3COO]- _[M+Cl]- ,YDNKGFDKKRUKPY-TURZORIXSA-N,596.5275_572.4828,5.942,1328944,1734471,763901,1643760,2992213,1431851,1305300,1751996,1598840,1310200,1428173,797805,1825187,1674531,1216611,1362585,1346098,2430493,2673574,1224566,1184676,1105842,519245,935179,1352432,2374779,2339088,2156691,1217760,1486871,1981507,731930,1515696,959196,1879367,1576324,1060002,1043647,1157888,1802394,1084704,963834,890649,551436,2933139,1096878,1133462,2177379,1581279,893430,1174284,697808,2890495,1614743,87039,101965,109072,102179,124801,128067,126351,1915029,1577557,1458841,1374529,1354188,1335457,1304843
5.34_594.51_5.32_570.47,Cer d34:2 ,[M+CH3COO]-_[M+Cl]-,XXWRZIYYFPIQHE-XPAOSYCESA-N,594.5113_570.4672,5.3285,3252,4011,3013,3568,7621,3730,2990,3953,3936,2931,3688,2797,4791,3079,3700,3053,3816,5428,5445,2989,4479,2992,3731,2619,2564,5138,5593,3782,3385,3980,3791,2362,3530,2803,3601,3350,2264,2148,2536,3328,2594,2274,2243,1781,3932,2645,2384,3534,2070,1855,2508,1326,3365,2313,11475,11608,9865,10238,12654,12305,11655,3950,3619,3444,3354,3475,3261,3257
6.67_624.56_6.67_600.51,Cer d36:1 ,[M+CH3COO]-_[M+Cl]-,MJQIARGPQMNBGT-WWUCIAQXSA-N,624.559_600.514,6.6675,3938368,5980902,3170085,4788203,5399445,3969395,4993588,6490615,4347152,4347590,4317929,3030739,4686021,7019061,3545420,3970887,4856036,6333365,8429705,4873227,4292256,3289898,2385355,3679298,4849246,6348255,7512280,7119476,3995192,4710660,6574269,3415353,5035677,3414726,6197421,4438933,3924326,4783198,5370346,6075121,5125043,4552719,3109935,3391510,9746866,4636297,4963785,6589676,5853844,2927908,4673502,3327917,7021626,5180905,25210,31557,33460,30274,39029,39289,39745,5774968,5180501,5028523,5048700,4862755,4882183,4870534
7.38_652.59_7.39_628.55,Cer d38:1 ,[M+CH3COO]-_[M+Cl]-,XWBWIAOWSABHFI-NUKVNZTCSA-N,652.5897_628.5455,7.3875,794035,836914,542197,764621,590891,691175,851984,874321,757962,535321,771428,598457,730364,1093389,762506,957127,678674,787902,899814,663759,482584,500544,430897,616787,759420,841969,783758,885298,603213,592408,776402,496681,772100,616315,894115,649712,657422,761854,740134,726903,686610,724371,530561,514013,1220275,697285,786282,811688,942527,658822,613891,591841,958676,948962,18540,22030,22734,20208,23007,22955,23735,852762,764004,739587,704966,702665,693929,692563
7.73_666.61_7.74_642.56,Cer d39:1 ,[M+CH3COO]-_[M+Cl]-,WYSRACVJQVNCRW-PQPBPFPMSA-N,666.6056_642.5612,7.7345,284100,155535,201269,176264,122931,195445,258805,216983,223938,139390,183692,170698,231105,243180,306914,239999,220747,193335,130850,135550,129160,177361,137152,175396,177571,169766,157366,185931,182647,110928,201259,155539,206244,173051,162867,186061,146378,130040,133900,98007,127368,159067,139309,87825,165056,145309,177208,123026,162780,145414,105376,183194,154005,157694,9647,11737,10752,10181,12422,11887,12271,175381,173162,174538,179688,184110,185686,180109
8.28_682.64_8.28_658.59,Cer d40:0 ,[M+CH3COO]-_[M+Cl]-,SXPRAKSDHOEHIG-ZESVVUHVSA-N,682.637_658.593,8.2805,306375,205234,253053,577008,379012,263802,288947,384476,324465,328229,705559,480084,254827,297933,348287,163670,269979,199971,47305,88443,109180,134984,170329,101261,152800,86902,54347,142117,88422,43170,70245,69122,112917,87929,56694,108297,435017,302896,291663,96497,202381,398717,298314,353900,168602,289930,260627,101376,179378,218945,102800,233789,103939,185149,20606,26061,22886,21330,26527,26033,27345,214087,217201,220882,223140,227257,232410,233192
8.06_680.62_8.07_656.58,Cer d40:1 ,[M+CH3COO]-_[M+Cl]-,KEPQASGDXIEOIL-GLQCRSEXSA-N,680.6214_656.5768,8.0675,3189168,1752880,2120216,2628016,1949411,2458670,2801246,2756669,2536889,2076410,2904420,3043841,2005134,1934418,3441667,2694860,2449838,2495141,1527692,2256603,2402104,2940920,2789726,2558033,3426480,2181365,2057162,2861787,2897834,1630896,2741469,2534078,3228250,2480516,2257122,3042084,3342422,3148539,3155522,1811874,2629044,3490672,2592811,2896776,2812940,3224364,3084513,1584544,2952580,3145796,2101379,2837722,2327034,2985592,133443,157951,160187,146279,179557,179883,182358,3055530,2785907,2741621,2713788,2674018,2693087,2646620
7.36_678.61_7.36_654.56,Cer d40:2 ,[M+CH3COO]-_[M+Cl]-,HILTUFAERVOALR-MQXYEJFFSA-N,678.6067_654.562,7.3575,2311239,3167115,1805651,2228878,2435440,2355181,2243001,2626327,2483386,2135941,2754253,1587441,2593142,3188739,2406564,2760956,2046820,2800532,2448613,1561385,1282661,1170931,1242862,1673090,1804504,2206966,2517669,1943542,1603375,2226430,1927685,1224242,1781035,1700713,2137663,1446512,1167867,1416502,1570176,1794014,1541814,1393339,1540684,958216,2327139,1339237,1596915,1859967,1584276,1240079,1685357,1142247,2132695,1593975,5827,5603,6202,6049,6766,6583,7032,2310329,2065350,1999830,1927060,1890488,1838822,1840589
8.39_694.64_8.38_670.59,Cer d41:1 ,[M+CH3COO]-_[M+Cl]-,NAJHAHQNQCNWOP-PUYNVXOJSA-N,694.637_670.5922,8.385,879246,376533,545016,517894,526329,614975,712929,670848,690239,478213,627002,726316,529777,577019,945244,636956,621421,609584,460924,555248,565584,869603,744377,723813,845072,681531,472875,740091,947983,326486,757703,760530,957638,720563,562653,825896,1093945,872874,896679,473887,684709,1067355,810828,777045,901708,888146,1021108,541304,869901,952042,576749,1131580,725838,992540,124353,142285,147837,136105,170650,170355,169358,733360,696729,716679,712077,723761,731454,721585
8.90_710.67_8.90_686.62,Cer d42:0 ,[M+CH3COO]-_[M+Cl]-,BPLYVSYSBPLDOA-WVILEFPPSA-N,710.6681_686.6237,8.901,199738,155576,177645,435594,720182,269132,222456,349842,270690,370786,739177,443505,195274,401372,290877,151737,187537,300664,50749,96547,127841,174223,241495,130489,205964,76951,63109,211546,121264,60864,87405,75928,179252,123145,69292,157054,855473,597466,331964,165571,259712,724734,472625,611025,300472,459982,430342,83664,299629,366511,225391,308193,175359,378256,29055,42755,32829,29988,38494,37326,39063,306089,286595,287712,286902,286515,283084,277699
8.68_708.65_8.69_684.61,Cer d42:1 ,[M+CH3COO]-_[M+Cl]-,ZJVVOYPTFQEGPH-AUTSUKAISA-N,708.6527_684.6082,8.6855,3254515,1350287,1825361,2126662,4731113,2632073,2423608,2677642,2298078,2324067,2641413,3560960,1563481,2133791,3389539,2596423,2169270,2942716,2364191,3879942,3938861,4780810,5165779,3779656,5256799,3802667,2549818,4248138,4845019,1981299,3739381,3654433,5287920,3739896,3121042,4674869,7579765,6285495,7677968,2978552,4854091,7521600,5015177,6150057,5037467,6033419,5913922,2937722,4606540,6528376,4064475,5453795,5049179,5571374,656347,717464,820309,727549,939853,943154,963020,4178175,4042999,4097427,4094357,4019035,4119014,4092179
8.02_706.64_8.02_682.59,Cer d42:2 Isomer A ,[M+CH3COO]- _[M+Cl]- ,VJSBNBBOSZJDKB-KPEYJIHVSA-N,706.6399_682.593,8.0185,7823751,7998921,6401172,8250007,7591369,6952127,6787838,7974352,8465476,6918961,9023403,8136407,7237120,8359071,8220367,8038018,6889916,8460494,7653060,8061994,7206784,7841693,8651177,7933621,9847470,8905899,8780626,8039939,9050735,6447087,8832313,7843852,9820265,8413272,8864812,8387943,9687439,10700021,9954858,8430777,9679689,10147965,8948238,9307332,11426509,10260784,10211808,8027562,9908016,9593898,8565442,8768254,9559345,10201498,115099,121332,136467,123046,151618,153251,152493,10223211,9297114,9023263,8998713,8616571,8659013,8609804
8.14_706.64_8.14_682.59,Cer d42:2 Isomer B ,[M+CH3COO]- _[M+Cl]- ,VJSBNBBOSZJDKB-KPEYJIHVSA-N,706.6362_682.5924,8.139,226146,153402,168303,177024,253884,167203,193948,224028,253899,183419,161027,243442,194273,347480,257450,237416,259966,189363,271408,249732,238467,219504,246499,223990,203951,277499,227134,279675,252156,171055,248382,248417,253231,233391,277499,244865,318159,243455,282177,241707,275530,376337,261251,250417,441790,299117,305807,277511,203458,210665,277288,363945,216324,378082,81158,87242,95633,86315,106417,106628,106237,182700,212922,259767,329545,249820,316004,275450
8.88_722.67_8.88_698.62,Cer d43:1 ,[M+CH3COO]-_[M+Cl]-,QHPYSHVSWAOLHS-PVNBSDFKSA-N,722.6666_698.6232,8.8845,40369,27106,20586,25754,37031,57080,35827,38374,34414,25908,29171,41018,29531,25142,37216,28602,28158,36763,14366,21970,23809,51269,30604,34278,57442,20683,23421,39105,46294,19021,36914,28624,39912,30713,20506,50814,60551,44458,28012,26772,31081,51652,40598,48068,45128,41313,43658,17204,46669,40086,26914,49346,36448,48939,26282,27722,30457,27066,34252,33619,34674,45458,38120,35120,32022,37311,30796,33700
9.28_736.68_9.28_712.64,Cer d44:1 ,[M+CH3COO]-_[M+Cl]-,CJROVRTUSFQVMR-GVOPMEMSSA-N,736.6841_712.6397,9.283,344343,105285,183889,222423,209416,168208,204549,212278,243452,104939,268959,391467,133974,161528,346851,260828,162868,235113,160049,330761,470763,870287,998784,480387,730129,224710,248085,489499,982189,211224,429722,600059,813213,639467,284278,638887,1196316,810400,352418,286872,402237,1183630,729050,884176,475350,903662,872206,99235,692877,620715,457422,799706,340705,760444,13761,35590,14399,12408,16901,17391,17316,503741,459054,457322,440676,438242,431319,426656
9.34_1452.00,CL 72:6|CL 18:1_18:1_18:2_18:2,[M-H]-,QHFWYATUNQMMPP-NYNZWQDGNA-N,1451.9965,9.335,2961,1580,3571,499,3276,4767,7947,4484,1210,3606,876,3245,5728,4360,3716,4410,3897,1880,1469,1204,2275,1960,619,1231,345,8085,2338,3497,1746,2768,2013,3423,1047,6995,2710,2018,1715,614,1960,7613,1958,1520,5004,4528,2983,1324,4002,4642,2104,2260,4272,4111,2433,3376,7,7,6,64,7,7,145,654,1476,1592,2066,3256,2663,3103
9.28_1452.00,CL 72:6|CL 18:1_18:2_18:1_18:2,[M-H]-,SUUFUECQWJPUFA-BOLWANLENA-N,1451.9957,9.275,880,312,596,604,627,1282,2755,1047,429,778,1429,1130,1537,1034,839,811,1013,383,1246,363,655,613,244,211,572,338,734,626,568,953,728,1280,9,415,541,285,461,252,581,863,392,326,1596,354,134,775,1166,960,910,201,1029,466,1041,637,11,11,9,133,11,11,108,654,796,216,1008,699,711,1255
8.97_1449.98,CL 72:7|CL 18:1_18:2_18:2_18:2,[M-H]-,WSEKMBMSQDAXBT-NFIDWZDPNA-N,1449.9813,8.968,360,325,175,328,354,338,1178,716,294,260,188,161,779,395,119,444,294,284,469,298,380,414,37,87,230,997,400,209,242,4,339,374,118,99,469,118,281,365,349,918,441,266,721,408,449,219,976,455,247,3,423,143,298,297,125,3,2,3,3,169,3,132,180,297,321,409,375,181
8.65_1447.96,CL 72:8|CL 18:2_18:2_18:2_18:2,[M-H]-,LSHJMDWWJIYXEM-RGLFHLPNNA-N,1447.9648,8.655,161,274,25,92,345,217,678,471,91,213,123,278,1170,729,39,559,195,3,162,319,35,202,145,89,91,163,169,59,64,330,137,135,3,294,113,3,127,92,193,412,31,62,100,203,73,37,174,497,103,223,481,302,174,105,3,3,2,3,3,3,3,109,151,79,489,279,193,45
9.64_1480.02,CL 74:6|CL 18:1_18:1_18:1_20:3,[M-H]-,CIXWMANDFYXZBE-NWHVMDGFNA-N,1480.0245,9.64,3198,5481,6107,6483,5472,4360,6616,5548,4355,4448,3204,3696,3633,4967,4581,4788,5102,9389,5701,3174,3243,2547,2402,2555,5409,3180,4380,3481,2892,4979,4647,4918,3767,3878,4509,4160,2269,2284,2988,4040,3318,2769,2523,2196,5101,4180,2285,4483,4120,2250,6248,2157,6485,3957,11,12,9,10,12,123,11,3551,2006,3176,3448,2731,3190,3409
9.39_1478.01,CL 74:7|CL 18:1_18:2_18:1_20:3,[M-H]-,KXQSQIBCFOFGTC-OHOMCNMRNA-N,1478.0111,9.393,3062,1036,5584,1770,2324,11395,12339,10688,1295,5728,1206,5979,11031,4685,5564,11033,3823,3617,1543,3559,9000,4492,8341,2291,831,7736,7219,2726,3807,7056,2854,5136,1691,8845,1934,1803,1547,1371,832,8883,2253,3082,14253,7099,3819,1106,6175,9197,2877,2630,3850,9940,1387,2584,11,129,99,10,12,11,126,2353,1170,2478,3322,7813,7645,7640
9.04_1475.99,CL 74:8|CL 18:1_18:2_18:1_20:4,[M-H]-,RFXDMVVCMWEIHH-YHPMRTIDNA-N,1475.994,9.035,490,1726,344,647,1503,3829,1111,719,252,1527,462,944,1472,1054,1046,863,105,1685,763,625,1148,864,299,622,741,713,2396,1413,234,1360,932,671,376,464,2115,464,972,737,1508,3354,387,1090,1121,2318,534,129,1522,4525,1238,762,1629,525,1256,875,143,11,112,10,11,112,11,243,600,602,708,785,518,682
8.77_1473.98,CL 74:9|CL 18:1_18:3_18:1_20:4,[M-H]-,PJPCSIWSDGCERR-BJOCGWKPNA-N,1473.9795,8.774,1272,1842,555,313,798,2354,1620,786,1023,975,473,639,2286,1507,788,1383,587,376,1066,375,849,412,322,477,471,726,795,1264,735,632,497,507,415,392,414,439,838,783,476,1459,123,688,678,834,1117,326,1072,1268,606,1471,852,1493,800,1104,12,12,9,107,12,12,11,504,532,324,426,1001,483,895
8.83_1524.00,CL 78:12|CL 18:2_20:3_20:3_20:4,[M-H]-,ZGMQKTQZWBTGAT-SXIAWXCQNA-N,1523.996,8.827,1478,1747,1622,1802,11,1457,2321,4173,1311,2698,13,1402,1803,4024,4916,5439,3422,1320,3473,328,488,1871,828,367,95,2086,1464,578,963,2081,509,1413,537,2252,1843,461,752,1301,1007,3223,1516,2450,6397,332,1458,401,689,4291,331,608,1375,3902,1277,1026,10,184,8,9,11,10,10,1211,1119,1454,832,3815,2462,2870
8.51_1521.98,CL 78:13|CL 18:1_18:2_20:4_22:6,[M-H]-,ZUNUABGXYGGNLO-GMJKPKGFNA-N,1521.9761,8.505,324,522,802,458,581,1294,1058,1331,419,1173,700,374,1003,1079,827,879,806,1075,747,534,321,193,182,362,222,876,597,602,829,837,411,455,435,545,565,395,152,554,221,732,706,393,1252,966,655,416,1256,1992,382,746,1145,890,895,991,10,10,8,9,10,10,10,132,263,555,460,567,613,784
8.59_1547.99,CL 80:14|CL 40:7_40:7,[M-H]-,DSZAQLGNVHPJCR-FMAJKNBCNA-N,1547.99,8.589,2161,1576,2652,1809,2301,1703,2288,2036,2191,2969,1707,1804,2358,2212,2866,2182,2196,2821,1542,684,1022,627,1222,2103,625,1235,1123,1820,1066,1650,950,1507,2057,1857,1664,1561,1683,1251,1177,1438,1041,1627,2170,1726,2183,1625,1689,1895,1711,2509,3132,1908,2923,2250,4,4,90,3,4,4,4,883,2132,1968,1779,1352,1506,1468
8.29_1569.98,CL 82:17|CL 40:7_42:10,[M-H]-,OXTRXEIWOYBTLJ-MQYOEJNBNA-N,1569.9791,8.286,974,400,694,129,782,1071,721,809,629,1129,262,502,953,793,1137,896,653,523,635,818,640,483,703,472,112,717,329,402,507,634,706,648,768,381,331,618,606,379,642,835,293,363,859,402,1062,220,698,704,209,987,912,457,326,686,111,9,100,8,9,131,110,488,180,559,752,625,807,468
0.72_171.14,FA 10:0 (capric acid) ,[M-H]-,GHVNFZFCNZKVNT-UHFFFAOYSA-N,171.1394,0.724,72116,21211,14657,58690,21725,42829,17392,40079,17846,27142,54873,27661,29624,21488,18228,17528,38003,96331,22492,46877,35643,16378,64131,17278,18001,35658,47922,19415,17550,25488,41094,20529,16225,20082,19501,36658,40227,17868,13539,21077,22827,73425,27631,37449,19884,18368,20760,76993,41304,29616,20061,15677,50827,55922,11208,7385,7956,6634,6442,6330,5968,34373,30368,28646,30059,28125,26899,28073
0.82_185.15,FA 11:0 (undecylic acid) ,[M-H]-,ZDPHROOEEOARMN-UHFFFAOYSA-N,185.1548,0.821,20752,8322,4876,17785,5341,14316,6300,13955,8120,8768,17574,9809,12975,7714,7407,5803,11490,32847,7145,13541,11482,4586,18024,5834,6005,10988,15527,7698,7037,9727,12584,6828,6296,6153,5259,10876,11494,7386,4806,7485,9225,4640,10361,11935,8501,6003,7730,23251,15458,12361,7532,5657,18819,19137,6370,4931,4232,3776,3774,3821,3416,9606,8361,8415,9551,7559,7921,7666
1.04_199.17,FA 12:0 (lauric acid) ,[M-H]-,POULHZVOKOAJMA-UHFFFAOYSA-N,199.1712,1.036,549152,140529,97586,425268,147229,342061,212966,301838,82395,122163,355406,103054,86331,103113,79368,104452,238592,354988,139089,310087,308149,89507,508723,75684,117387,309546,406993,93646,88888,167133,259775,71963,61225,111227,66878,224634,294707,70500,49333,146677,235558,55636,91353,303348,107100,98001,81909,846589,319308,101143,134843,122556,504019,588178,35028,49642,34662,44232,23125,23706,25541,177336,161668,163864,165756,166745,174889,187461
1.62_227.20,FA 14:0 (myristic acid) ,[M-H]-,TUNFSRHWOTWDNC-UHFFFAOYSA-N,227.2026,1.621,505658,203055,134778,355847,256437,330451,303303,296355,190634,182315,416843,174834,190960,196189,129576,172393,259349,333422,244736,312590,249294,139724,427795,147855,159414,335671,372561,259314,107574,176112,291881,116628,160623,145054,167433,261794,303325,171336,191205,199103,255047,146808,114708,259303,229514,166617,176434,584441,379891,157534,162385,138657,495605,473536,220895,194169,177453,181903,168488,171081,174152,261375,238968,236068,224195,219905,227627,231167
1.19_225.19,FA 14:1 (physeteric acid) ,[M-H]-,AFGUVBVUFZMJMX-KTKRTIGZSA-N,225.1864,1.194,47295,20607,15755,16859,15165,10694,21205,10759,11365,11565,18045,13170,20090,15350,14743,22465,13969,12545,20279,17079,8301,9989,10295,7930,12146,12677,14839,10299,6736,8706,15732,9304,13716,8854,13490,13312,13413,8177,10278,8748,9647,9264,6336,7484,10458,12574,11328,9059,10266,9077,12846,7403,10995,8733,11334,9393,9506,9011,8059,8110,7528,14931,13272,12619,12721,12847,12515,12712
2.03_241.22,FA 15:0 (pentadecylic acid) ,[M-H]-,WQEPLUUGTLDZJY-UHFFFAOYSA-N,241.2182,2.033,151423,104658,68027,96938,130437,92291,105871,97235,104464,91749,123389,63917,98069,98315,79176,87498,80259,91249,96498,76610,59559,60336,92968,63396,62997,100822,89257,101987,42416,80354,82939,56844,72876,66717,77251,80960,80365,74283,75680,74993,77041,63781,53221,56453,82763,80361,89974,114282,119258,73452,69168,53360,128135,95796,74359,60160,60741,54465,56800,56797,56481,101644,89137,86348,84470,79388,80711,81985
1.48_239.20,FA 15:1  ,[M-H]-,DJCQJZKZUCHHAL-VOTSOKGWSA-N,239.2021,1.484,32241,9195,6822,8542,11074,7415,15156,9147,8114,6160,10350,8304,11530,9435,6194,7281,6585,5968,11998,9255,4224,4262,6902,5046,6221,8789,7814,8993,4771,6688,7470,4358,7940,5203,9308,8443,7738,5042,7475,6465,8258,6748,3497,4238,6821,8099,6110,7484,5956,4707,5019,4218,7987,4679,3734,3576,2760,2960,3271,3389,3111,9999,8985,8328,7621,7717,7874,7682
1.81_253.22,FA 16:1 (palmitoleic acid) ,[M-H]-,SECPZKHBENQXJG-FPLPWBNLSA-N,253.2183,1.812,382166,363920,490651,497798,437798,307604,520864,371443,346338,280167,456130,672525,370345,567352,299333,299601,316168,250133,1068455,942219,377654,322418,239501,317930,569190,736281,796857,809216,394967,304220,500469,210554,625770,269136,599740,570574,505585,465778,827512,393482,697448,670701,284070,305443,599524,549077,603967,375457,334880,240935,254981,187027,378129,238830,264754,236245,245667,247844,227331,221870,224725,572797,498509,475359,480034,464539,467810,459140
2.98_269.25,FA 17:0 (margaric acid) ,[M-H]-,KEMQGTRYUADPNZ-UHFFFAOYSA-N,269.2495,2.984,419963,462056,370629,464526,491305,380020,403262,393203,500621,435264,419563,322071,359511,424916,383368,464883,350860,358384,370875,320985,314034,328679,323908,382741,363368,470449,367068,400573,204690,343309,387453,359152,399856,303996,307716,387467,337499,390640,301738,298579,316473,313347,264187,233692,379305,340663,435316,476166,530598,355362,291548,271018,567938,344953,181557,144864,155700,139404,158681,157212,161110,445638,402751,384473,367441,360309,361664,372595
2.74_281.26,FA 18:1 (oleic acid) ,[M-H]-,ZQPPMHVWECSIRJ-KTKRTIGZSA-N,281.2569,2.74,7244308,8493934,8145189,8970571,8282665,6768098,8026380,7055296,7001091,6624317,9002786,7755650,7578004,9300278,6550634,7619406,7269594,7546987,12552784,10083767,8825500,7363401,7521153,8568807,9369708,10258345,10821708,9473930,7831305,10746271,10025730,7494870,9832673,8232412,10716948,8967841,7751145,9164989,10124247,10682665,9767884,8800430,6967139,6961966,9825898,8555653,8995036,9948355,9511224,7708568,7815832,5405888,11878249,6918359,6608824,6193787,6176782,6247188,6560948,6626016,6663620,10386561,9408483,9037572,8865524,8521602,8589943,8576634
