,,,,,Label,S4.1 L,S4.2 L,S4.3 L,S4.4 L,S4.5 L,S4.6 L,SR.1 L,SR.2 L,SR.3 L,SR.4 L,SR.5 L,SR.6 L,S30.1 L,S30.2 L,S30.3 L,S30.4 L,S30.5 L,S30.6 L,PR.1 L,PR.2 L,PR.3 L,PR.4 L,PR.5 L,PR.6 L,P4..1 L,P4.2 L,P4.3 L,P4..4 L,P4..5 L,P4.6 L,P30.1 L,P30.2 L,P30.3 L,P30.4 L,P30.5 L,P30.6 L,TR.1 L,TR.2 L,TR.3 L,TR.4 L,TR.5 L,TR.6 L,T4.1 L,T4.2 L,T4.3 L,T4..4 L,T4..5 L,T4.6 L,T30.1 L,T30.2 L,T30.3 L,T30.4 L,T30.5 L,T30.6 L,Biorec001,Biorec002,Biorec003,Biorec004,Biorec005,Biorec006,Biorec007,PoolQC001,PoolQC002,PoolQC003,PoolQC004,PoolQC005,PoolQC006,PoolQC007
8.95_722.67,Cer 43:1;2O|Cer 18:1;2O/25:0,[M-H]-,,722.6676,8.952,66681,54512,62508,129751,109641,114904,31654,22664,74556,179065,79638,105158,37510,207885,71521,122553,181773,133699,89320,41836,45853,83355,93909,100977,86257,122040,59331,41709,73177,48179,125382,208482,126935,160465,87512,114415,20962,45491,24467,55621,41599,29493,16061,43136,70458,61700,63254,34837,82698,76596,83096,55343,76369,86845,5900,5657,7912,10771,6302,11017,11205,45185,62507,122372,118210,108759,101558,101422
8.25_720.65,Cer 43:2;2O|Cer 17:1;2O/26:1,[M+CH3COO]-,NZZFYKXWXQOTDS-NZKWQJBINA-N,720.6523,8.247,136530,133028,132659,113140,88858,276417,79106,87336,271871,137289,160129,154190,67678,209805,91332,103754,166648,121704,179389,187566,171394,256433,113166,201036,241765,164374,122991,55569,165949,136573,111735,173050,122478,88110,110914,178481,31772,31551,42354,32060,42915,31655,40715,21451,25467,51305,35062,62201,67789,46148,48534,52216,52694,32630,2335,2680,2155,2146,2355,2431,2482,98760,161810,138685,126492,112995,103173,102897
8.25_718.64,Cer 43:3;2O|Cer 19:3;2O/24:0,[M+CH3COO]-,MILKCDVENWVMCN-LOXIQTPCNA-N,718.6376,8.249,103175,43103,122697,85072,44480,73405,50418,66945,120743,72214,125897,39943,50772,152032,98532,83627,157874,166638,114051,109170,178015,147527,232316,181569,140702,136542,126657,108181,111857,118135,175966,172690,257618,115204,127124,178773,40052,98540,44923,21903,73845,22416,72350,23990,34314,42087,31228,58522,61539,27398,40653,43607,38748,29877,300,199,299,11,10,9,153,85973,143563,122839,111461,98130,91809,89851
7.55_716.62,Cer 43:4;2O|Cer 19:3;2O/24:1,[M+CH3COO]-,JIDIMSKRDPEDAK-JIEJFRBPNA-N,716.6215,7.552,97622,76837,139757,169891,103029,67407,57715,89370,189217,110008,145457,111197,50122,131772,100541,98045,98138,233091,204430,160936,216186,169585,401416,199326,176630,181978,248101,104672,169460,176493,184408,148470,213316,149124,121161,133423,46453,73470,39178,23784,65834,28708,77894,28572,36142,37977,30532,65283,76256,36197,45596,59101,32159,45726,7,126,18,9,122,8,8,113957,143117,122962,117669,114209,110698,109224
8.64_734.67,Cer 44:2;2O|Cer 18:1;2O/26:1,[M+CH3COO]-,AQKMDEJRGNVGLA-GHFDWVPINA-N,734.668,8.641,196570,304095,151871,212349,226883,152177,66346,77183,133014,428633,101330,273945,76066,231382,310806,278419,152681,185615,209571,94320,92937,67359,130286,67940,114724,173129,170625,61264,96701,73312,335526,183024,107633,123917,100596,120941,51025,55572,53244,89348,51803,35882,41914,59818,61745,62772,62089,97489,80574,53634,73364,49831,57666,99513,5789,6664,4592,6468,5553,6108,5829,113496,145146,134838,129345,119440,114191,117441
8.09_732.65,Cer 44:3;2O|Cer 18:1;2O/26:2,[M+CH3COO]-,JZQKFRLGUWODQG-QFFRIRBTNA-N,732.6523,8.085,17822,24457,18231,20314,24366,24584,10102,14818,17980,34748,17237,28563,8673,29875,23987,30616,17162,22260,15407,11239,10445,11057,13791,11381,16433,16600,15086,11247,11789,10771,23265,20691,13313,13086,12136,17303,6232,6742,6945,6860,6384,4647,5320,6464,5850,6957,5545,9711,11246,7185,9072,8214,7456,13205,385,600,646,282,328,385,368,12906,17135,15214,13594,12467,12675,12599
9.23_762.70,Cer 46:2;2O|Cer 18:1;2O/28:1,[M+CH3COO]-,KFZMUAGKFGPIPH-KTWZRITNNA-N,762.6997,9.234,6122,11548,8044,9777,14581,11801,6240,4550,9369,9336,5860,6488,4918,13121,13042,6498,9915,9672,8239,5358,8267,7622,6855,7096,13849,13228,6002,5044,10115,9442,24720,25044,12444,14122,12729,16291,3633,3299,5559,4095,4664,2932,3747,4367,3424,5561,3953,7006,7185,4373,5668,3581,5614,6076,323,12,480,425,187,368,363,7645,13431,10118,9250,8685,8246,7854
5.23_568.50_5.23_544.45,Cer d32:1 ,[M+CH3COO]-_[M+Cl]-,ZKRPGPZHULJLKJ-JHRQRACZSA-N,568.4957_544.4513,5.231,1172504,709573,998868,975234,572745,829992,955866,719999,1053953,521120,758941,451370,629517,598840,892312,882401,543268,536724,1040890,860430,1178795,1541156,1376456,1447587,1361929,985841,1616248,1247767,943941,1141572,475635,574950,403967,473207,537233,623776,262660,338377,408810,241788,354987,325459,263943,238169,279528,399153,420878,305810,191312,290107,301495,232892,321413,101118,7681,5830,5221,6202,8293,8145,8261,627353,781081,772191,745759,702990,659538,653146
5.58_582.51_5.58_558.47,Cer d33:1 ,[M+CH3COO]-_[M+Cl]-,QBFXCLDNTKBAPQ-STSAHMJASA-N,582.5118_558.4671,5.5795,154351,120565,167432,172379,124301,154472,149950,154445,192262,108412,163033,119867,106933,146834,129784,117744,110188,133557,170200,162264,183700,192568,201731,171901,163223,203945,177887,186262,132901,166197,89693,99100,65810,82009,96599,118226,69289,87968,94250,71306,86978,88459,72393,67823,71520,90338,97159,77181,45939,69355,72626,61515,74887,31291,13455,6929,9843,9418,11584,13875,13438,119150,143856,122472,125832,131475,126933,125336
6.19_598.54_6.19_574.50,Cer d34:0 ,[M+CH3COO]-_[M+Cl]-,GCGTXOVNNFGTPQ-JHOUSYSJSA-N,598.5427_574.5033,6.1895,112891,102851,89635,120748,107698,134821,124152,84291,84414,97647,112305,94678,34411,94114,79613,83062,58987,61398,197130,257714,118013,96071,131497,57742,91563,218300,116639,165742,92139,95669,78867,53509,26476,60407,53642,59036,65841,124593,97279,142439,90747,114368,64602,150409,173789,115258,135385,136470,59339,94315,106782,73799,69158,78450,14872,8435,9624,10964,13281,15477,16063,124368,100091,99917,95338,115854,130167,129088
5.94_596.53_5.95_572.48,Cer d34:1 ,[M+CH3COO]- _[M+Cl]- ,YDNKGFDKKRUKPY-TURZORIXSA-N,596.5275_572.4828,5.942,1688877,2094844,1789742,2323631,2074063,1885023,1856002,2184453,1954129,1777215,2061924,1950953,1015859,2023681,1557352,1593009,1277214,1710836,2848691,2978996,2596158,2177527,2486597,1715395,2016228,3167829,2483965,2420332,1888122,2244848,1629594,1609520,844195,1464009,1480391,1612906,994967,1601559,1438945,1581796,1381718,1534992,898476,1574519,1364178,1445540,1568962,1297820,885812,1407010,1672711,1081896,1343738,851236,103891,68224,51380,72325,96173,105276,106248,1881272,1937260,1754974,1852184,1998205,1925133,1942783
5.34_594.51_5.32_570.47,Cer d34:2 ,[M+CH3COO]-_[M+Cl]-,XXWRZIYYFPIQHE-XPAOSYCESA-N,594.5113_570.4672,5.3285,7375,10266,7332,9674,7270,8383,8328,10494,11652,6453,9541,7616,6181,5313,8235,6869,6570,5959,12752,12934,20854,20414,23265,17220,10992,11871,19699,10728,15163,28743,4869,5009,4449,5777,7870,6261,4197,5666,6589,5145,5601,5791,3889,4085,4623,5723,6903,4811,2360,2737,2825,2433,3551,1926,9133,6624,6938,8366,9789,9727,9424,9026,8829,9206,9846,10290,9580,9380
6.67_624.56_6.67_600.51,Cer d36:1 ,[M+CH3COO]-_[M+Cl]-,MJQIARGPQMNBGT-WWUCIAQXSA-N,624.559_600.514,6.6675,475827,513585,348186,545262,439654,565855,288663,411874,391185,421776,626194,518577,269368,680039,342009,456649,396512,760363,1664420,1823722,1467156,1568276,1246975,985103,1596699,1490991,1565412,937577,1526197,1536995,973196,1050877,633525,952107,939552,758779,357867,488399,541370,623604,608858,613033,329160,389500,514711,606968,571399,561360,290057,361217,496612,377164,637158,274989,33010,18209,17816,23029,30406,32409,32788,878994,783670,778326,797133,887684,911264,917012
7.38_652.59_7.39_628.55,Cer d38:1 ,[M+CH3COO]-_[M+Cl]-,XWBWIAOWSABHFI-NUKVNZTCSA-N,652.5897_628.5455,7.3875,1497426,1085707,1320275,1294407,827146,1571785,915058,1069149,1316721,1232544,1801369,1071903,888993,1552081,989327,1277512,1186077,1389780,1825521,1704803,1665442,2333259,1648872,2001583,2104405,1793096,1794503,1383866,1617630,1655264,1764957,1885839,1113560,1409012,1422659,1712850,598673,697920,727490,726101,760694,774938,480470,512425,745252,880807,726599,790997,742693,811614,905877,821522,984108,628185,21135,13318,12911,16437,20081,21687,22196,1290509,1321367,1283032,1291486,1329980,1277397,1280100
7.73_666.61_7.74_642.56,Cer d39:1 ,[M+CH3COO]-_[M+Cl]-,WYSRACVJQVNCRW-PQPBPFPMSA-N,666.6056_642.5612,7.7345,1299707,753588,1202438,1218184,867052,1228686,1026263,953318,1402642,960571,1758868,860042,945018,1166320,1117682,842279,838040,1190125,1401660,1048087,1208947,1951254,1811676,2185802,1583310,1250169,1217579,991899,1224297,1530166,1283880,1293584,982550,980969,742259,1005840,621612,513743,506086,356544,554664,507170,377376,276161,460946,619855,503953,368536,384623,518192,501490,508720,588344,303150,10218,7155,7020,8867,9876,10344,10557,1135609,1529217,1382123,1297525,1231664,1214782,1202256
8.28_682.64_8.28_658.59,Cer d40:0 ,[M+CH3COO]-_[M+Cl]-,SXPRAKSDHOEHIG-ZESVVUHVSA-N,682.637_658.593,8.2805,86517,128405,182791,114236,59855,115923,167232,71285,54362,165454,76238,88528,73094,124631,106401,144551,67866,58704,72323,64345,42892,66227,53951,90549,90203,118539,41823,150153,43996,47191,170284,204664,58052,125713,135667,267746,88335,113248,109140,152037,100276,111124,65683,134695,138542,167307,113136,158903,352817,261867,266749,230534,174246,223059,21722,15517,16741,20451,21453,22301,21691,115593,141987,134514,133602,127293,123962,123146
8.06_680.62_8.07_656.58,Cer d40:1 ,[M+CH3COO]-_[M+Cl]-,KEPQASGDXIEOIL-GLQCRSEXSA-N,680.6214_656.5768,8.0675,2103182,1545545,1795604,1705949,1198023,1910205,1269801,1402329,1491912,1930009,2462749,1419692,1260303,2174633,1685754,2087000,1600481,1864817,1898525,1570174,1714273,2518624,2021190,2504116,2010506,1908663,1932916,1500494,1510537,1633022,2240057,2217180,1443737,1625261,1618058,2033279,669352,854046,783517,803050,783949,770829,494590,638949,864951,934801,786329,766910,963320,954865,1116984,1040510,1111531,911967,150145,97522,94209,118757,137374,147189,147894,1484984,1490899,1489948,1485673,1563128,1502543,1498824
7.36_678.61_7.36_654.56,Cer d40:2 ,[M+CH3COO]-_[M+Cl]-,HILTUFAERVOALR-MQXYEJFFSA-N,678.6067_654.562,7.3575,4593005,4304645,4943762,5016619,3880952,4720264,3303941,4192491,6562103,4395001,5508252,4934678,2925416,4303831,3867151,4063760,3548953,4633826,6324798,6113648,6528447,7531562,7014586,7420331,7247382,5648131,7815838,4426475,5600989,6576010,2880753,2890452,2492290,2880163,2423103,2616408,2431530,2221936,2619103,2332055,2824331,2956791,1974390,1729580,2414357,3072703,2647221,2219269,1739268,1971192,2245649,1906760,2464924,1302743,6526,4668,4564,4663,6136,6447,7172,4300508,4646720,4426964,4394690,4461814,4344018,4334730
8.39_694.64_8.38_670.59,Cer d41:1 ,[M+CH3COO]-_[M+Cl]-,NAJHAHQNQCNWOP-PUYNVXOJSA-N,694.637_670.5922,8.385,991736,729280,999057,800136,616963,722929,622808,671050,545420,1319724,1113010,780669,538245,1228990,979272,987557,786417,1018387,783254,619859,688415,825295,832631,968652,681668,844151,753440,589366,522708,586171,1085660,909901,650829,710966,591945,719938,349767,430720,341770,335773,359958,332645,233464,271384,409304,415204,364366,308720,450509,457212,511544,492862,484720,442598,142131,97741,85636,115375,136509,142215,142822,653614,625588,627740,630594,675765,673393,671837
8.90_710.67_8.90_686.62,Cer d42:0 ,[M+CH3COO]-_[M+Cl]-,BPLYVSYSBPLDOA-WVILEFPPSA-N,710.6681_686.6237,8.901,61127,93970,130975,114756,51652,80471,130858,47637,41286,84777,53537,55715,71469,93882,95514,92199,122070,41231,41903,40521,31756,54123,50576,83161,62084,82154,27777,95099,28472,32281,79132,99757,42487,67447,68784,125954,83545,90333,87287,120093,80027,88417,52090,115678,130016,135480,100655,111113,272131,212223,212657,189832,134532,156677,31344,23202,22825,28762,29950,32641,31886,82864,108836,99172,95320,90137,90224,87727
8.68_708.65_8.69_684.61,Cer d42:1 ,[M+CH3COO]-_[M+Cl]-,ZJVVOYPTFQEGPH-AUTSUKAISA-N,708.6527_684.6082,8.6855,1507016,1244446,1155863,1136301,1059257,1108159,866730,842971,663990,1891589,1176715,1043166,830192,1716705,1487439,1520932,1172697,1347359,1156989,790625,800002,825418,842310,943081,846418,1216432,819830,813072,654141,666770,2206204,1714060,1096748,1234538,1154837,1451112,460999,692293,509151,733728,522456,455465,346053,564306,756282,634834,544017,648280,913514,776528,957915,813365,791903,938498,787067,590926,438075,719675,775158,801041,813475,949793,976255,978036,981852,994322,995310,1006517
8.02_706.64_8.02_682.59,Cer d42:2 Isomer A ,[M+CH3COO]- _[M+Cl]- ,VJSBNBBOSZJDKB-KPEYJIHVSA-N,706.6399_682.593,8.0185,3791110,5319376,4071212,4161565,4492816,4148149,3348244,3799480,3698555,5967507,3424339,4534906,2858654,3882763,5114143,4910049,2718482,3824880,3284974,2988777,2687334,2372074,2593624,2355496,2732730,4101168,2950226,2913499,2301635,2369453,2824074,3136817,1965410,2353438,2391804,2619283,1465465,1928418,1681011,1880817,1748706,1623142,1192460,2010227,1661537,1897541,1557482,1616037,2191481,1741723,2094240,1679447,1842283,2098031,128973,85286,79834,103202,119816,126353,126125,2828904,2988453,2939107,2868309,2923555,2891325,2875904
8.14_706.64_8.14_682.59,Cer d42:2 Isomer B ,[M+CH3COO]- _[M+Cl]- ,VJSBNBBOSZJDKB-KPEYJIHVSA-N,706.6362_682.5924,8.139,166186,255335,207889,177857,170730,159595,157901,159866,157867,396496,164772,230229,118794,229436,227396,211768,127844,188768,158635,134929,126075,118909,126420,121775,115062,207313,131910,119965,96570,112364,173073,188499,130331,139843,126168,161885,78197,89006,79711,75965,86825,81181,56823,92807,87227,90018,75199,75045,106411,89335,112786,91773,102044,103915,89823,59728,55919,71281,83677,86352,88993,144665,124209,126740,135166,142726,128788,126213
8.88_722.67_8.88_698.62,Cer d43:1 ,[M+CH3COO]-_[M+Cl]-,QHPYSHVSWAOLHS-PVNBSDFKSA-N,722.6666_698.6232,8.8845,30984,33962,28594,35851,31118,61680,26923,22701,34352,31197,35870,29565,28212,73921,27214,22991,45929,39304,34703,43710,25377,102722,19337,48210,36559,42985,18371,19522,26478,29091,53110,65526,38850,41496,43201,64125,8285,10264,10223,14469,10086,10409,6651,11546,11484,14301,11689,13846,30985,20477,23759,27586,20172,20017,28825,21332,19603,25253,27400,28440,28681,25629,29383,35739,29821,30806,37842,40086
9.28_736.68_9.28_712.64,Cer d44:1 ,[M+CH3COO]-_[M+Cl]-,CJROVRTUSFQVMR-GVOPMEMSSA-N,736.6841_712.6397,9.283,67447,105117,96627,77045,88272,139004,107852,74307,91192,92919,92608,56614,78511,167137,146249,64858,191697,146078,55224,66502,71718,79300,43798,82966,87109,113662,28175,75669,58393,75183,221449,319658,194848,159063,202372,255570,38501,54124,51672,40763,46467,34757,34251,48703,39829,57002,36223,54809,122162,59066,77521,72275,70729,72902,13779,10585,11646,13067,13468,13014,13480,77486,115724,98074,92258,85628,86798,82124
9.34_1452.00,CL 72:6|CL 18:1_18:1_18:2_18:2,[M-H]-,QHFWYATUNQMMPP-NYNZWQDGNA-N,1451.9965,9.335,25759,17017,27622,18360,36795,22018,34196,22621,24614,22084,17067,20825,20081,16057,26105,24772,31619,13918,17269,22950,26589,34515,28125,34583,33980,28486,17287,26635,28932,19749,10194,31760,29702,23492,22383,34840,41198,56434,54132,25197,47508,30369,60536,32996,30240,72342,40837,33515,24702,31995,19810,29846,21973,33690,6,7,13,7,218,134,6,28236,37880,35477,27841,26086,23588,22247
9.28_1452.00,CL 72:6|CL 18:1_18:2_18:1_18:2,[M-H]-,SUUFUECQWJPUFA-BOLWANLENA-N,1451.9957,9.275,13263,8437,13694,10477,20365,10548,19484,13138,13496,13595,7018,20825,8313,9079,12624,13744,14854,7737,6920,10229,6653,8551,8584,15981,10628,12705,5377,14346,7943,7607,5265,12332,12795,6644,5176,9418,15274,23664,18968,11222,12197,13999,15577,12898,30240,27735,15462,11237,11452,13970,19810,9155,8134,10447,8,11,20,138,218,134,9,6804,10681,15379,11102,11534,14179,22247
8.97_1449.98,CL 72:7|CL 18:1_18:2_18:2_18:2,[M-H]-,WSEKMBMSQDAXBT-NFIDWZDPNA-N,1449.9813,8.968,29537,18075,26542,22801,46145,13194,39893,22393,15305,20738,7414,23429,9279,14792,26221,20064,30633,9601,6074,6463,5166,12314,5765,59347,9645,11231,3510,34446,7575,8300,15415,15958,31475,8993,7524,16952,18199,18924,14647,8831,11056,11253,14397,11451,31161,21539,12838,8554,41695,44525,25109,19865,11392,13282,91,3,5,3,3,2,102,8401,12063,17485,12903,13104,23046,22665
8.65_1447.96,CL 72:8|CL 18:2_18:2_18:2_18:2,[M-H]-,LSHJMDWWJIYXEM-RGLFHLPNNA-N,1447.9648,8.655,20509,12794,11269,16767,34516,19984,30621,15122,13646,12061,7130,16487,15061,9591,15720,12478,19661,4839,4931,5892,4216,12864,3580,52170,9547,8800,2223,27629,6809,7774,15568,32373,21240,9545,9552,22847,14467,13085,10329,7650,8106,7440,11632,9301,17272,14797,9006,7051,44525,39663,19568,31132,12745,15479,80,102,252,3,138,2,2,7905,11398,21846,11808,11904,16033,15754
8.38_1445.95,CL 72:9|CL 36:4_36:5,[M-H]-,WZRJBUOLZXYUJZ-CECSYVCNNA-N,1445.9492,8.38,10520,5711,6741,8229,18095,9304,14923,6685,8983,5055,5008,7448,6602,3657,6531,4965,8247,1638,3382,1970,3186,12220,1959,24058,9966,5447,1602,14686,6881,6609,10003,16962,8062,10648,12282,29720,10151,6983,6607,5278,6385,4442,7627,6900,5763,8693,5282,5503,28448,19923,10051,38540,11212,14017,3,4,8,4,127,3,97,8102,11015,9776,8557,8228,7433,7296
9.64_1480.02,CL 74:6|CL 18:1_18:1_18:1_20:3,[M-H]-,CIXWMANDFYXZBE-NWHVMDGFNA-N,1480.0245,9.64,13805,11422,16649,10213,17307,11121,18471,14885,14682,14217,5983,11486,7224,11041,19807,16596,13661,12132,12967,22213,9034,7037,12438,11360,10430,19558,8724,15300,9151,10312,4190,15505,9160,5613,5505,6846,8547,23474,28650,12500,12091,9957,12998,11273,10118,33047,18132,10335,5820,13006,7661,4994,5117,7706,9,12,21,11,108,9,105,6710,10388,12820,15168,13559,11796,11877
9.39_1478.01,CL 74:7|CL 18:1_18:2_18:1_20:3,[M-H]-,KXQSQIBCFOFGTC-OHOMCNMRNA-N,1478.0111,9.393,26806,19087,27223,19624,36221,21328,35361,26941,27380,25663,19823,23186,21926,20240,31945,25198,38013,18028,21657,32295,28998,34038,28088,50334,36114,29631,23210,30747,30307,19368,10029,34040,31489,25447,25781,43145,29342,35667,37246,22521,36526,21905,43466,27228,19292,44677,26246,27559,22945,28107,16833,29103,19197,29004,115,12,21,11,105,9,9,26732,35884,32740,24030,23645,20389,20885
9.04_1475.99,CL 74:8|CL 18:1_18:2_18:1_20:4,[M-H]-,RFXDMVVCMWEIHH-YHPMRTIDNA-N,1475.994,9.035,32544,24239,31403,25837,49565,29387,44988,29983,33470,28373,23818,29942,27348,22489,32244,26917,44464,17078,13507,25212,12654,19368,12913,73834,19064,20066,10495,38094,14078,13762,18076,50064,40506,17411,14912,33340,19956,23070,22684,15791,19714,16463,20709,18493,22076,28082,17438,17012,39002,25918,24425,25154,16832,21906,9,11,21,11,10,95,9,14500,21451,25289,31604,29959,26162,25931
8.77_1473.98,CL 74:9|CL 18:1_18:3_18:1_20:4,[M-H]-,PJPCSIWSDGCERR-BJOCGWKPNA-N,1473.9795,8.774,24911,17783,20422,22126,41231,24130,35799,21967,26294,18253,18241,24352,20428,15295,21090,17213,31218,9051,14823,11846,15801,46791,13232,65041,36969,21420,8966,36131,28372,20432,20575,45183,34478,31865,33795,70243,32100,27148,27403,16844,28431,18770,30896,24046,17414,33803,21952,20404,44661,39346,22266,56471,26908,34335,9,130,22,11,11,10,145,24332,32105,29537,24551,23010,21631,20184
8.09_1493.95,CL 76:13|CL 18:2_18:3_18:2_22:6,[M-H]-,LBMDEXAZLQIZQJ-HVYDBNPSNA-N,1493.9469,8.088,12062,9751,8032,13085,11086,14372,12906,10662,9155,6044,9558,8194,8332,8276,9341,7088,12217,3902,6209,4713,6464,14483,2891,21241,9689,8950,3397,11850,10391,8983,13244,23995,16668,16764,11005,21018,12933,9298,10090,8186,11305,7443,5548,10508,5745,11937,7246,4587,32985,23744,16860,35976,19220,24402,1,2,3,2,2,1,1,5978,8984,13598,11701,11295,10689,10563
8.83_1524.00,CL 78:12|CL 18:2_20:3_20:3_20:4,[M-H]-,ZGMQKTQZWBTGAT-SXIAWXCQNA-N,1523.996,8.827,23776,25218,23356,27380,22790,28796,26091,28972,27613,19784,28206,23758,20923,34212,27135,23805,40623,35792,20223,26353,19885,31986,21444,41867,30850,35536,15938,23853,21254,26604,16465,39374,50154,33572,32943,46367,29163,31920,36342,18477,27916,28249,33198,34275,13858,38640,26605,18467,30768,29674,24944,28232,31502,39681,8,11,220,108,10,101,92,28414,38543,35089,29783,27499,25750,24813
8.51_1521.98,CL 78:13|CL 18:1_18:2_20:4_22:6,[M-H]-,ZUNUABGXYGGNLO-GMJKPKGFNA-N,1521.9761,8.505,18838,22288,17520,25877,20181,27024,22780,22451,22186,14436,23304,20493,19351,25572,20112,18170,32506,23621,22222,22501,15252,22079,13896,37711,26615,29635,11959,22282,17768,17630,18968,41330,48044,24172,22877,55101,19252,19242,20588,23777,23678,17579,16334,20457,12503,22462,15532,15787,36133,30713,24928,33826,33059,29981,85,10,19,10,9,8,8,16245,22939,31282,27003,25465,22732,22932
8.22_1519.96,CL 78:14|CL 38:6_40:8,[M-H]-,WSCQUWIPVHANQI-LNNMLLSANA-N,1519.9633,8.216,10704,11564,7596,13871,10161,12798,10097,10493,10269,6075,10755,10095,9301,10647,8373,8172,15054,7484,10244,8900,10296,21739,7946,21520,24009,12748,6475,13381,15552,13362,12517,22695,25063,18614,20417,34944,13762,10642,12087,9956,14687,9455,11732,13148,6065,13216,9272,10199,24338,18145,14098,23534,18472,20512,89,8,224,7,7,6,106,12150,16394,14080,12824,12394,10969,11144
8.59_1547.99,CL 80:14|CL 40:7_40:7,[M-H]-,DSZAQLGNVHPJCR-FMAJKNBCNA-N,1547.99,8.589,8199,11619,8024,12037,8112,12712,7344,11352,10930,6077,12970,10940,9465,17647,8801,9768,16231,24380,12889,14216,15483,14152,17274,11842,23154,14652,11818,9723,14759,11915,7697,17974,24726,16059,17708,21729,12548,13507,17380,10420,20671,13781,12931,15270,5242,16154,11606,13416,12231,11574,11632,9153,15206,18487,3,4,226,3,3,3,3,12910,16370,15102,13555,12214,11596,10809
8.29_1569.98,CL 82:17|CL 40:7_42:10,[M-H]-,OXTRXEIWOYBTLJ-MQYOEJNBNA-N,1569.9791,8.286,4506,8546,3938,7779,3231,8241,3279,7084,5449,3204,8367,4593,5936,11406,4427,5804,9063,17660,12315,17332,13305,7461,10506,5431,16621,11134,12950,4865,11621,8919,4499,9011,14624,9210,10935,10756,6385,6976,10815,9576,12972,8404,6604,11358,2413,9212,6841,6075,7056,5830,6293,4557,9750,10378,90,172,252,108,8,152,94,7955,10529,10079,8704,8081,7256,7078
7.97_1567.96,CL 82:18|CL 40:8_42:10,[M-H]-,BKHIVNIPLOTXKF-IDTFEWLUNA-N,1567.9611,7.97,2458,4705,1944,5697,1873,4493,1319,3875,2850,1446,4717,3085,3203,6337,2368,2957,4873,8392,5279,4902,5686,6471,4819,4338,11495,5935,4299,4057,6406,5347,4441,8206,13934,7575,8219,9961,5473,4726,6576,5126,8026,5079,4682,6998,1777,5916,4530,5921,6707,5074,5657,4374,8059,8455,81,113,201,6,109,5,115,5057,6957,6069,5612,5253,4753,4660
0.72_171.14,FA 10:0 (capric acid) ,[M-H]-,GHVNFZFCNZKVNT-UHFFFAOYSA-N,171.1394,0.724,57585,39280,34108,21829,49938,51337,40896,18415,29665,37055,63896,13479,28961,13405,54691,25677,50077,13545,56210,12482,50368,41185,15013,14076,35709,39270,37063,26328,60848,17132,27370,22700,18920,26123,28903,32570,14227,18774,27267,18516,25553,20691,16880,28150,20826,28314,27126,22077,18148,15097,16038,22178,18464,50593,3899,6437,7804,11700,5323,4986,5300,25407,32434,27056,26548,28098,27023,27366
0.82_185.15,FA 11:0 (undecylic acid) ,[M-H]-,ZDPHROOEEOARMN-UHFFFAOYSA-N,185.1548,0.821,20350,10878,11147,6301,15520,14789,21381,7144,11487,9907,19029,4797,15893,4165,20214,9024,11881,4101,13543,3512,12910,12497,5663,3996,10800,10460,8848,14277,15648,5391,7013,7751,7312,6801,11832,14923,5244,6174,6987,5838,7029,6611,6204,8710,6580,6318,7040,7795,5432,5060,4494,7000,5557,12603,2340,4268,3645,5504,2974,2865,2725,7594,9571,7793,7303,9018,8071,7114
1.04_199.17,FA 12:0 (lauric acid) ,[M-H]-,POULHZVOKOAJMA-UHFFFAOYSA-N,199.1712,1.036,1075752,508583,315270,117374,163714,659583,937469,129115,357927,283031,782807,106434,468283,108174,865996,286079,461346,70427,546129,83493,414834,479227,96742,117607,425695,320006,347625,208606,530888,75061,254689,101259,65879,141240,239577,197638,84535,86975,112976,82024,95212,99295,89231,133944,109754,176769,239549,96044,86770,60769,88644,161013,77143,346861,32114,33867,47633,63010,32158,36120,35067,178907,242939,220062,194258,178706,192131,196924
1.62_227.20,FA 14:0 (myristic acid) ,[M-H]-,TUNFSRHWOTWDNC-UHFFFAOYSA-N,227.2026,1.621,678352,522612,412781,274759,270701,534251,776455,297292,458112,395890,602670,331802,495913,181972,574576,327651,436538,196254,494274,186193,407692,399649,253005,216030,375060,307484,369386,702281,618216,268899,318241,431334,193612,310861,344144,490879,335666,244633,342889,228960,217378,264995,416808,273997,351838,295694,295839,634861,201444,240210,199581,211847,208436,316990,176325,167660,221426,288639,154962,147203,153034,296648,392845,335191,309308,296941,307738,304871
1.19_225.19,FA 14:1 (physeteric acid) ,[M-H]-,AFGUVBVUFZMJMX-KTKRTIGZSA-N,225.1864,1.194,15818,13188,14669,16424,8400,15377,11590,9411,10076,15182,10431,11335,15178,7461,16467,14004,20435,14471,14644,13022,12739,10739,11487,6589,8059,8107,11927,9902,16832,7133,7199,5210,4711,3641,7432,6941,13754,5332,7094,6065,4309,4633,20703,6466,11955,8771,6936,25125,2865,7627,4137,3915,3294,3257,7352,7891,9219,8383,6894,7519,7125,8986,11517,11291,9275,8951,8610,8614
