,,,,,Label,S4.1 M,S4.2 M,S4.3 M,S4.4 M,S4.5 M,S4.6 M,SR.1 M,SR.2 M,SR.3 M,SR.4 M,SR.5 M,SR.6 M,S30.1 M,S30.2  M,S30.3 M,S30.4 M,S30.5 M,S30.6 M,PR.1 M,PR.2 M,PR.3 M,PR.4 M,PR.5 M,PR.6 M,P4.1 M,P4.2 M,P4.3 M,P4.4 M,P4.5 M,P4.6 M,P30.1 M,P30.2  M,P30.3 M,P30.4 M,P30.5 M,P30.6 M,TR.1 M,TR.2 M,TR.3 M,TR.4 M,TR.5 M,TR.6 M,T4.1 M,T4.2 M,T4.3 M,T4.4 M,T4.5 M,T4.6 M,T30.1 M,T30.2  M,T30.3 M,T30.4 M,T30.5 M,T30.6 M,Biorec001,Biorec002,Biorec003,Biorec004,Biorec005,Biorec006,Biorec007,PoolQC001,PoolQC002,PoolQC003,PoolQC004,PoolQC005,PoolQC006,PoolQC007
6.93_702.60,Cer 42:4;2O|Cer 18:1;2O/24:3,[M+CH3COO]-,MRVHMHLOVRJTKO-XZEUHWMINA-N,702.6041,6.931,5477,6560,3663,4556,4755,5080,4269,5341,5036,4994,4850,6041,2991,3716,5001,4677,2359,5883,3302,4528,6863,2987,3908,11525,2293,3942,4410,5857,3913,4505,3309,4544,4341,7156,8267,6154,5439,4888,4255,7101,10833,6594,7005,6310,8154,4513,3359,4888,11305,9493,10785,8746,8237,13384,3,50,3,3,997,1260,1183,6309,6169,6092,6192,5964,5947,5987
8.95_722.67,Cer 43:1;2O|Cer 18:1;2O/25:0,[M-H]-,,722.6676,8.952,19254,13813,13784,17063,15122,12340,15412,19014,11756,13329,21815,16240,11826,17645,22678,16655,6200,19390,25143,29170,27832,20003,27649,24880,29524,33430,29235,50528,26543,26238,35035,43118,32674,32437,28012,33760,52071,61978,44759,27236,30857,46005,45549,39962,36632,34645,43459,40314,46043,54172,55751,46368,36137,56772,16608,16509,16166,15747,14164,14093,14172,28953,30551,27670,27898,29694,28368,28513
8.25_720.65,Cer 43:2;2O|Cer 17:1;2O/26:1,[M+CH3COO]-,NZZFYKXWXQOTDS-NZKWQJBINA-N,720.6523,8.247,15488,29909,17508,18338,13321,20874,8236,11815,35687,17459,13025,14405,4846,8908,13525,10585,2825,23038,9897,23045,38776,25217,24935,34157,16199,15596,25022,6755,40760,28717,11364,13392,35003,35759,37908,20347,20452,18643,21890,23746,31366,34717,34714,18445,25160,28816,17477,19828,41004,36344,30841,14495,32451,14122,3288,3583,3292,3279,2804,3039,3343,28530,28920,28579,29032,31603,31662,30201
8.25_718.64,Cer 43:3;2O|Cer 19:3;2O/24:0,[M+CH3COO]-,MILKCDVENWVMCN-LOXIQTPCNA-N,718.6376,8.249,13878,18931,20067,29485,8678,8912,7157,16709,24088,17008,15695,8081,4299,11314,14519,11369,47,31242,15469,32298,64871,36995,73451,61952,34838,33639,28023,26302,55368,41995,17192,20301,93387,54356,69868,30589,21084,47324,20155,23947,45174,25942,46163,21174,33180,28941,16950,19610,43275,28508,24097,9173,21962,10583,280,9,10,277,13,391,200,35086,33430,36278,35649,37282,35362,36477
7.55_716.62,Cer 43:4;2O|Cer 19:3;2O/24:1,[M+CH3COO]-,JIDIMSKRDPEDAK-JIEJFRBPNA-N,716.6215,7.552,97872,96314,107534,152824,120234,44131,86713,177247,148522,108171,103200,103521,30772,110585,66763,52255,23191,167858,80295,131998,163398,80248,277856,268382,120575,95679,87473,101120,125183,156509,93334,83249,218320,157988,154351,81968,87697,180379,74380,73909,202209,115507,177993,82513,129639,84578,66367,73032,169380,114496,124834,81630,90172,88799,97,8,8,9,10,10,10,129714,125003,128871,129712,135772,130263,132613
8.64_734.67,Cer 44:2;2O|Cer 18:1;2O/26:1,[M+CH3COO]-,AQKMDEJRGNVGLA-GHFDWVPINA-N,734.668,8.641,30538,61562,48483,66798,42049,37036,20179,60976,50200,56504,47283,55344,11461,33461,57580,37325,7632,72564,43849,67232,102659,42193,68039,89839,74727,100280,83845,171536,70927,96046,54567,90328,101135,86682,101663,85123,140632,176385,121647,117010,120274,147467,132384,169846,116859,102371,94843,95925,140796,148148,171416,45453,98371,120850,8400,8798,8589,8590,8103,7945,8194,92170,92418,95832,92876,94297,95259,95213
8.09_732.65,Cer 44:3;2O|Cer 18:1;2O/26:2,[M+CH3COO]-,JZQKFRLGUWODQG-QFFRIRBTNA-N,732.6523,8.085,3835,6483,4795,6522,4951,3523,3166,5700,6871,5025,4292,4463,2043,3852,5243,3865,765,7683,2897,4541,13265,3896,5852,16946,3721,6201,5912,9370,5949,7263,3803,5669,12407,10910,11147,6616,9809,16190,7958,13670,21747,14182,15505,10871,17303,12390,6102,6095,22458,16561,19793,4989,12558,10577,955,769,996,1056,672,803,596,9582,8917,9916,9301,9856,10094,9442
9.23_762.70,Cer 46:2;2O|Cer 18:1;2O/28:1,[M+CH3COO]-,KFZMUAGKFGPIPH-KTWZRITNNA-N,762.6997,9.234,3751,2935,1929,4530,4423,1853,3030,3316,1670,2182,3318,2595,3295,2544,4164,3007,2219,2934,3534,3637,4751,1701,2350,4485,3281,6052,6428,11834,2278,4719,4742,7577,4777,4688,4826,5045,2696,4631,1943,3092,3737,2515,2895,3375,2880,2680,2470,3554,4540,3288,6274,3860,3202,5374,521,292,410,143,276,160,290,3852,3945,3467,3359,3742,3528,3446
5.23_568.50_5.23_544.45,Cer d32:1 ,[M+CH3COO]-_[M+Cl]-,ZKRPGPZHULJLKJ-JHRQRACZSA-N,568.4957_544.4513,5.231,163279,73041,121068,132016,50319,89911,110381,80965,107444,120987,130357,62901,169656,98818,173130,187711,114806,143301,81475,140367,240694,174376,190528,325618,76096,71997,105220,89548,140726,171084,95580,87024,260640,259787,342952,185967,64260,57006,68046,77786,132338,87587,86558,54861,117183,96252,74575,40283,153828,125378,145745,78144,186973,78856,11222,11173,11395,10921,11111,11039,11552,136487,132880,129774,122396,124410,124194,124108
5.58_582.51_5.58_558.47,Cer d33:1 ,[M+CH3COO]-_[M+Cl]-,QBFXCLDNTKBAPQ-STSAHMJASA-N,582.5118_558.4671,5.5795,50625,29083,35582,41941,26554,35668,38368,37260,40785,37600,41194,30882,56455,34536,45090,44713,44698,55639,34765,47010,61298,49532,52685,68710,37731,38159,40087,45162,49869,45165,39501,41007,65488,67599,79437,57074,40969,39921,39195,40469,53109,41192,44100,34713,46969,44896,39332,33403,63547,49931,53278,45563,59941,44473,20298,20919,20137,20351,18929,18354,19112,45872,47853,46658,48401,47762,46816,45978
6.19_598.54_6.19_574.50,Cer d34:0 ,[M+CH3COO]-_[M+Cl]-,GCGTXOVNNFGTPQ-JHOUSYSJSA-N,598.5427_574.5033,6.1895,33182,38508,36979,51826,35259,31813,12201,45764,25275,41773,34619,26987,35447,17841,19587,35134,31266,58939,26700,36407,154588,31664,46915,150413,22930,49385,74595,63619,46295,66317,32248,56503,90488,72958,124091,86768,34081,97557,42129,102635,273520,62032,56206,57333,171606,113639,45348,32543,199896,103858,190128,24342,141802,58945,19176,20936,20327,20679,21075,22272,21216,68703,70258,61485,77298,65007,67655,67416
5.94_596.53_5.95_572.48,Cer d34:1 ,[M+CH3COO]- _[M+Cl]- ,YDNKGFDKKRUKPY-TURZORIXSA-N,596.5275_572.4828,5.942,531951,451857,420022,629316,311845,430013,359807,454428,431287,543323,431584,352009,266088,398079,594298,592241,231084,749200,351199,783817,1577188,792699,1080860,1817450,252150,484758,580959,687356,851114,675135,368358,764830,1181100,1615743,2042371,1379861,344495,417874,330554,530459,1048866,387290,406203,421007,851678,521350,370589,254059,1505791,813943,1267886,406371,1100636,694815,149670,145393,147722,140721,141369,140113,138044,741104,717457,714231,720966,744511,709600,707878
5.34_594.51_5.32_570.47,Cer d34:2 ,[M+CH3COO]-_[M+Cl]-,XXWRZIYYFPIQHE-XPAOSYCESA-N,594.5113_570.4672,5.3285,1370,1289,1258,1772,1315,1215,1192,1536,1385,1649,1394,1457,4505,924,1324,1591,1314,1623,1452,2113,3083,1725,2608,2735,1061,1155,1124,1217,1658,1823,781,1186,2132,2334,2631,1458,886,975,1238,1387,1472,1502,1144,1033,1371,1074,982,717,1368,1166,1350,589,1304,964,11569,11683,11757,11812,11683,12804,11658,1576,1715,1535,1247,1362,1342,1404
6.67_624.56_6.67_600.51,Cer d36:1 ,[M+CH3COO]-_[M+Cl]-,MJQIARGPQMNBGT-WWUCIAQXSA-N,624.559_600.514,6.6675,139501,91458,94990,76531,69209,86276,108437,81949,81392,81394,84498,79207,107717,85086,112619,131230,69765,121465,103749,148774,134996,108930,117802,126131,108222,76684,103940,137681,124972,117889,102063,121234,119708,129452,169276,145204,89150,82726,90613,104697,107913,82272,85596,96844,99400,86271,83728,97358,194784,127155,141596,143497,150122,164211,45851,48999,48276,47793,45125,44968,45099,113788,114820,111092,114717,115686,114157,113711
7.38_652.59_7.39_628.55,Cer d38:1 ,[M+CH3COO]-_[M+Cl]-,XWBWIAOWSABHFI-NUKVNZTCSA-N,652.5897_628.5455,7.3875,373430,264484,289483,236782,168071,273294,228815,211638,309167,230519,320391,217856,182224,361072,320639,308574,109999,350317,165822,273810,337220,248762,252662,402266,173538,158268,216307,214391,267382,263729,171311,238461,417076,356609,499855,334858,189279,176928,183841,244959,316482,237164,261329,168546,281278,255886,181261,174419,412690,373069,373299,373067,480348,284952,28407,31108,30541,28113,25980,27360,27619,292915,286706,294987,295669,303926,298759,302506
7.73_666.61_7.74_642.56,Cer d39:1 ,[M+CH3COO]-_[M+Cl]-,WYSRACVJQVNCRW-PQPBPFPMSA-N,666.6056_642.5612,7.7345,139444,106430,131913,113478,74786,95151,100532,88467,142190,94069,137173,89484,72500,170871,149217,116837,46970,175369,64671,115151,161396,109079,178294,220027,91303,71557,99850,84895,128728,139063,70550,95534,249781,179075,198624,118624,126734,133436,117572,99792,193294,170537,185511,79107,150927,151155,115979,72494,211923,227454,207372,162977,247939,121444,14682,14870,15347,14116,13861,13386,13399,145186,145544,152165,152826,157190,154812,153730
8.28_682.64_8.28_658.59,Cer d40:0 ,[M+CH3COO]-_[M+Cl]-,SXPRAKSDHOEHIG-ZESVVUHVSA-N,682.637_658.593,8.2805,7942,12840,14242,17510,13126,9948,7244,19036,12830,12648,21014,12088,26273,7972,5147,9277,14188,14990,13689,22606,43920,24560,17884,43220,18499,28236,34278,76302,17948,25174,16095,21465,31018,26797,33997,26815,45360,108679,43429,116333,201842,66677,65405,52830,105660,103099,37739,46268,84729,82219,98973,24185,76773,51540,30568,31236,31370,29310,27960,27720,28386,40928,42517,41243,40747,41288,41562,40891
8.06_680.62_8.07_656.58,Cer d40:1 ,[M+CH3COO]-_[M+Cl]-,KEPQASGDXIEOIL-GLQCRSEXSA-N,680.6214_656.5768,8.0675,413728,354578,362462,357875,249008,312332,294909,284644,395189,311029,365489,265016,182564,374219,426584,354018,128410,508880,265694,455998,757865,475178,568007,894944,329324,382560,460696,716371,566895,520144,301110,492006,877906,728730,935090,592940,580680,674914,502274,699626,859766,691223,735697,554125,807528,673180,481693,447344,1144304,965412,1029561,667111,915651,809296,207312,218243,215920,204991,193551,191784,197691,581015,575914,590787,591581,618518,603976,600841
7.36_678.61_7.36_654.56,Cer d40:2 ,[M+CH3COO]-_[M+Cl]-,HILTUFAERVOALR-MQXYEJFFSA-N,678.6067_654.562,7.3575,1417994,1314496,1326251,1132519,989103,971369,1016532,1162178,1657468,1241101,1514037,1338522,613742,1823086,1483920,1289543,375404,1614277,578158,910590,1189576,713638,1127431,1306924,712472,521110,731838,617055,828112,1204465,462451,640747,1246657,947418,1230877,817559,779572,670615,730558,836157,1301552,1059567,1082715,644938,1025793,952781,759223,540477,1283094,1198322,1483362,1177212,1739019,978173,9335,8848,8595,7903,7823,7867,8192,1190155,1148695,1211547,1206345,1241018,1220789,1215994
8.39_694.64_8.38_670.59,Cer d41:1 ,[M+CH3COO]-_[M+Cl]-,NAJHAHQNQCNWOP-PUYNVXOJSA-N,694.637_670.5922,8.385,118320,122539,137189,131860,97957,113817,116809,126887,138289,122804,129651,113370,71321,130071,142102,105883,40111,179055,102164,157855,220132,161384,204530,221162,150551,170076,166334,280461,197656,196368,129821,188451,277990,208381,243007,201660,346207,370789,283797,217845,279173,319368,344575,267510,270046,250918,242057,185177,411565,465522,403661,269600,349525,328999,205762,213616,211561,196557,185522,183791,190115,225863,227808,229756,230092,236763,234121,231307
8.90_710.67_8.90_686.62,Cer d42:0 ,[M+CH3COO]-_[M+Cl]-,BPLYVSYSBPLDOA-WVILEFPPSA-N,710.6681_686.6237,8.901,14225,12031,13907,21002,25111,7993,16041,27716,10094,14034,31158,18734,34572,14852,12464,17310,24091,15877,19729,20924,38336,18495,17717,36834,23166,38125,40842,116443,15065,27147,28260,35163,32973,28043,27487,30602,50037,159352,42966,117530,192463,59577,68043,63757,117981,94269,55570,67752,74096,92244,138333,41035,86017,88202,45574,43965,44231,41984,41355,40689,41786,43081,45664,40715,40532,41215,41189,41672
8.68_708.65_8.69_684.61,Cer d42:1 ,[M+CH3COO]-_[M+Cl]-,ZJVVOYPTFQEGPH-AUTSUKAISA-N,708.6527_684.6082,8.6855,342926,332183,304935,387744,296699,247330,295594,386687,268340,375911,352854,304627,184869,284247,443802,383044,133432,478629,363878,465009,734922,349311,424937,758986,429942,735407,721892,1573903,438016,658964,530410,934124,940011,730378,873366,863990,766298,1042804,641762,774063,840590,661423,750014,815913,791086,610286,617019,675146,1145251,1036993,1272338,618362,814418,980755,1170637,1249245,1224878,1142236,1072023,1077688,1107204,632001,636127,649141,633597,659676,644879,636883
8.02_706.64_8.02_682.59,Cer d42:2 Isomer A ,[M+CH3COO]- _[M+Cl]- ,VJSBNBBOSZJDKB-KPEYJIHVSA-N,706.6399_682.593,8.0185,651498,883038,703453,781246,865387,613819,731475,791615,1048455,793459,697650,957205,294689,750827,676262,568597,186856,1039177,491830,783951,1206379,617721,996043,1289151,599264,688486,687124,1285627,856446,977369,514869,725614,1146124,960877,1241869,837177,1409046,1620868,1207121,1511074,1817028,1830212,1677812,1554262,1614029,1353094,1074497,851379,2260307,1982588,2290882,1335647,1743825,2002083,180363,184112,184119,175361,166056,166795,169877,1173408,1133664,1186659,1188148,1226042,1187145,1188718
8.14_706.64_8.14_682.59,Cer d42:2 Isomer B ,[M+CH3COO]- _[M+Cl]- ,VJSBNBBOSZJDKB-KPEYJIHVSA-N,706.6362_682.5924,8.139,16205,21671,19773,20128,19582,14551,17184,17538,27410,18368,16974,21968,8214,16437,17721,14298,7329,23831,13806,25585,39451,22973,36306,31516,20897,22925,22392,37792,29866,29801,16508,22076,40280,27152,34362,24227,57760,60148,52466,53817,58646,74189,65753,55333,60004,48791,40533,31640,64024,78934,78537,36967,54526,62106,126649,133406,131579,122834,115853,112227,116725,37787,36350,37783,38977,37428,36490,35007
8.88_722.67_8.88_698.62,Cer d43:1 ,[M+CH3COO]-_[M+Cl]-,QHPYSHVSWAOLHS-PVNBSDFKSA-N,722.6666_698.6232,8.8845,22335,9819,7907,9245,10226,12755,13244,9000,7681,8783,10855,8959,8683,11631,15339,12514,4772,11051,14105,14770,10459,10417,8583,11894,10392,13279,15850,12900,11453,12086,14704,17987,11682,15867,13488,16860,8444,8579,7216,7063,6735,7903,7803,8142,7451,7118,8483,12848,13590,10981,12071,19666,10108,14181,41432,42706,42062,39123,38624,38364,38046,10420,10551,10206,9949,11338,10810,11285
9.28_736.68_9.28_712.64,Cer d44:1 ,[M+CH3COO]-_[M+Cl]-,CJROVRTUSFQVMR-GVOPMEMSSA-N,736.6841_712.6397,9.283,34860,18587,14751,29580,40617,12720,43982,28453,13698,18467,30981,22629,55458,21460,32941,27665,35195,24835,35463,33627,41780,17865,22473,38719,31687,53206,56409,139614,21226,43749,54252,86941,55132,47057,42919,55660,29491,50474,27264,34531,36095,25308,32088,34196,29465,27129,30270,42089,45135,39172,67723,63741,34166,65087,18326,18821,19159,18472,17774,17586,17562,32666,36133,32362,31869,33063,32753,32041
9.34_1452.00,CL 72:6|CL 18:1_18:1_18:2_18:2,[M-H]-,QHFWYATUNQMMPP-NYNZWQDGNA-N,1451.9965,9.335,15534,10609,16548,11581,19965,13608,24624,22932,24366,19549,18156,21745,64462,22330,29730,31341,70697,14327,16099,18954,11581,11153,14635,13955,17958,16490,14660,17905,14422,15183,17022,19142,13670,9452,10877,14792,14912,8773,17897,9885,10088,17457,22771,13122,11973,11461,21167,18038,5804,14233,15060,10266,11262,10824,6,105,124,7,149,122,125,21282,30654,18274,16104,14682,14730,13790
9.28_1452.00,CL 72:6|CL 18:1_18:2_18:1_18:2,[M-H]-,SUUFUECQWJPUFA-BOLWANLENA-N,1451.9957,9.275,27037,16400,36320,22342,38732,32000,55899,37593,45325,30836,29182,34846,113213,57366,45535,46157,127294,34332,31649,29950,17444,24350,32166,31103,28441,28434,21284,35928,25928,28485,26972,28115,22425,15367,17143,21908,26069,25679,30352,17672,16407,28847,22771,28427,20358,22581,39963,34808,11962,20756,26974,18816,18978,20289,117,105,124,109,140,140,11,34808,30654,33795,32562,31826,30945,29290
8.97_1449.98,CL 72:7|CL 18:1_18:2_18:2_18:2,[M-H]-,WSEKMBMSQDAXBT-NFIDWZDPNA-N,1449.9813,8.968,41783,23451,55516,33887,49399,49716,72763,48560,72596,36008,44454,36705,152960,76830,57936,59158,168679,49880,42126,41538,22848,37945,36393,37020,40339,39711,30034,45339,38499,33925,42397,38177,38052,22623,24101,35244,36809,36842,47441,31220,20539,39017,33845,40189,27491,34187,60068,51206,22274,37076,46830,35331,34293,34135,2,91,100,109,135,3,116,48040,43768,46587,44947,44868,43053,42161
8.65_1447.96,CL 72:8|CL 18:2_18:2_18:2_18:2,[M-H]-,LSHJMDWWJIYXEM-RGLFHLPNNA-N,1447.9648,8.655,36363,18573,50511,27785,34849,40946,54065,34422,64747,24688,37198,20879,128420,55932,42785,45888,128634,37883,33225,32798,16152,35834,22155,25212,32419,29050,26515,28793,33123,21695,35315,29266,33265,17744,19833,31132,27692,29722,38330,28652,17077,30634,28962,32237,20574,28602,48197,43393,23885,36852,41083,39752,33250,29800,109,2,109,3,129,3,3,38980,33765,36547,35113,35236,34559,34189
8.38_1445.95,CL 72:9|CL 36:4_36:5,[M-H]-,WZRJBUOLZXYUJZ-CECSYVCNNA-N,1445.9492,8.38,21311,10013,12670,14343,9729,10814,12400,16228,37955,12182,18835,8301,73814,11720,19741,20483,68460,8094,8536,16623,7885,8357,3816,5000,14248,15352,15193,10092,10023,5265,17223,14700,12721,4802,10932,17761,6902,4526,16089,13908,7961,13891,13998,7594,4694,6557,10904,10965,5013,18270,18349,10336,9233,7027,4,3,4,4,5,117,137,18351,16930,10351,16839,8301,8352,7889
9.64_1480.02,CL 74:6|CL 18:1_18:1_18:1_20:3,[M-H]-,CIXWMANDFYXZBE-NWHVMDGFNA-N,1480.0245,9.64,2375,2277,2854,2621,5232,3226,6249,5004,4175,4401,2584,5875,11826,6490,6045,4486,14596,4634,2999,2503,2048,1881,3676,3964,2451,2665,2034,4643,1876,3725,2424,2748,2184,1812,1775,2292,2769,2651,2942,1371,2174,2770,2003,2271,2094,2164,4306,3538,1019,1874,2489,1375,1687,2166,10,9,10,11,127,128,12,3624,3254,3566,3164,3199,3160,3134
9.39_1478.01,CL 74:7|CL 18:1_18:2_18:1_20:3,[M-H]-,KXQSQIBCFOFGTC-OHOMCNMRNA-N,1478.0111,9.393,5604,4606,5592,5226,9629,5593,10020,9655,10632,7884,7112,9846,19840,9290,11524,14400,25730,6577,5320,7872,4017,2971,5010,5060,4955,5512,4491,6619,4211,5780,5625,5812,4093,3055,3476,4447,5284,3211,5571,2445,3581,5425,4444,3844,3522,3780,6193,5974,2047,4320,4947,2825,3466,3487,115,9,121,114,12,12,12,7451,7217,6478,5887,5077,5444,5035
9.04_1475.99,CL 74:8|CL 18:1_18:2_18:1_20:4,[M-H]-,RFXDMVVCMWEIHH-YHPMRTIDNA-N,1475.994,9.035,17034,13082,18056,15348,27428,23649,31118,26145,32415,19837,17322,22256,51609,30452,23858,23292,67893,22760,16001,12995,9320,11563,13118,16055,11734,13660,10552,15303,12326,15256,13796,13407,9281,6833,7923,11338,12394,10424,13242,7117,7482,13009,10348,11269,7903,8861,16789,15825,6493,9459,12524,8711,9846,9252,115,9,10,10,12,12,116,17890,16618,17509,16473,16763,16071,16305
8.77_1473.98,CL 74:9|CL 18:1_18:3_18:1_20:4,[M-H]-,PJPCSIWSDGCERR-BJOCGWKPNA-N,1473.9795,8.774,18640,12436,18112,15392,14364,23772,26700,21631,30265,15414,16642,15714,46970,13718,20289,21911,56434,19939,16977,14234,9793,12400,11755,14465,13416,14129,12290,10317,14668,14261,15315,15188,10202,7285,8396,13079,10080,4423,11847,6496,7154,10774,9147,9886,6510,8745,15634,15700,6800,10615,12282,10259,10862,9817,10,107,118,11,13,13,12,17026,15343,17065,14857,15358,15152,14869
8.09_1493.95,CL 76:13|CL 18:2_18:3_18:2_22:6,[M-H]-,LBMDEXAZLQIZQJ-HVYDBNPSNA-N,1493.9469,8.088,7824,7415,6701,7942,8641,11779,9258,8573,10975,6605,8431,6458,24041,9675,8343,8684,20866,8819,5080,4156,3064,3535,3411,4099,3990,4070,3581,3922,3787,3832,4671,5229,2816,2262,3540,4722,2997,1651,2803,1812,2620,2498,2610,2315,1929,2057,4712,6091,1953,3300,3308,3491,3578,3551,101,1,2,2,122,109,2,6203,5654,6157,5530,5904,5596,5584
8.83_1524.00,CL 78:12|CL 18:2_20:3_20:3_20:4,[M-H]-,ZGMQKTQZWBTGAT-SXIAWXCQNA-N,1523.996,8.827,3348,4895,3070,4963,7814,5313,5593,7422,6142,5348,4181,7918,9734,6090,5628,5191,7360,6919,2748,2267,2343,1577,2766,4131,2138,1942,1237,3668,1478,3862,2223,3248,1987,1609,2122,2251,2258,736,1919,722,2074,1695,1311,1434,1637,1303,2989,3322,828,1738,1762,876,1710,2136,110,9,103,10,12,11,11,4094,3601,4048,3506,3810,3694,3583
8.51_1521.98,CL 78:13|CL 18:1_18:2_20:4_22:6,[M-H]-,ZUNUABGXYGGNLO-GMJKPKGFNA-N,1521.9761,8.505,4194,5196,3252,5066,6983,6842,5817,6976,6094,5263,4667,6813,12829,5553,5276,5871,11156,6270,3314,2587,2750,1922,2974,3806,2358,2829,2256,2771,2294,4109,2913,3611,1878,1685,2348,2858,2175,996,1900,937,1869,1719,1355,1317,1565,1562,3054,3519,1017,1880,1781,1493,2078,2350,9,8,101,9,137,11,104,4435,3680,4019,3681,3709,3776,3730
8.22_1519.96,CL 78:14|CL 38:6_40:8,[M-H]-,WSCQUWIPVHANQI-LNNMLLSANA-N,1519.9633,8.216,3502,3948,2476,3467,4051,5050,3704,4113,4145,2866,3217,3654,7643,3346,3506,3973,7289,4171,2494,2038,1822,1546,1971,2233,2013,2117,1738,1528,1758,2833,2252,2808,1437,1116,1694,2142,1147,101,1273,578,1114,1005,695,730,791,865,1784,2322,336,1075,1139,1044,1205,1438,128,6,7,7,8,111,8,2744,2554,2706,2673,2692,2355,2500
8.59_1547.99,CL 80:14|CL 40:7_40:7,[M-H]-,DSZAQLGNVHPJCR-FMAJKNBCNA-N,1547.99,8.589,668,1236,572,959,1121,1500,898,1517,969,1237,830,1263,936,572,875,927,1090,1559,673,496,459,209,660,767,345,505,453,627,150,610,372,267,279,91,344,307,160,110,378,96,331,304,96,241,233,395,682,628,116,418,336,201,346,540,3,3,3,3,4,4,4,724,507,809,639,457,741,606
8.29_1569.98,CL 82:17|CL 40:7_42:10,[M-H]-,OXTRXEIWOYBTLJ-MQYOEJNBNA-N,1569.9791,8.286,244,660,133,382,375,813,139,581,254,390,460,747,717,446,662,422,839,495,480,101,175,9,176,400,100,176,172,442,134,500,259,477,10,151,215,383,103,108,150,97,152,12,9,114,9,95,108,343,167,330,149,104,310,206,7,117,102,8,9,9,161,251,303,258,124,204,179,244
0.72_171.14,FA 10:0 (capric acid) ,[M-H]-,GHVNFZFCNZKVNT-UHFFFAOYSA-N,171.1394,0.724,48666,30202,39459,36301,13098,43104,25422,19184,13975,11930,29798,46760,28942,40717,16745,12358,20642,8726,12875,13239,11033,11774,12435,7403,9609,10058,8909,8576,9211,6971,12290,8697,10184,13078,10339,12877,9866,10753,13975,9818,13308,29610,10585,11197,12064,11670,10860,16104,12942,9918,14926,11438,12987,14326,6397,4595,6336,5459,7107,7292,7481,18375,18784,18418,18915,18790,17156,18024
1.04_199.17,FA 12:0 (lauric acid) ,[M-H]-,POULHZVOKOAJMA-UHFFFAOYSA-N,199.1712,1.036,340860,262909,285545,400539,63252,344423,145031,89159,69614,48928,239979,415706,151774,301446,85157,55906,141248,26826,63279,20994,42740,31783,29132,22540,27985,23220,29830,35623,35787,21967,33880,22648,32405,47687,31128,108078,32410,30979,73539,79515,85590,61987,32641,35718,76429,54422,31265,57834,72809,27067,37220,39981,63341,30003,44836,45050,42053,41119,66757,68449,72654,85627,101448,89245,88546,100734,98288,100094
1.29_213.19,FA 13:0 (tridecylic acid) ,[M-H]-,SZHOJFHSIKHZHA-UHFFFAOYSA-N,213.1864,1.29,9086,7189,11094,12897,8267,8904,17077,3953,4685,4612,7297,15722,70476,11282,9856,8395,17654,7739,7517,13865,11431,9762,10414,5502,14444,4643,11981,24070,9601,11049,5593,4783,6076,6347,4329,10576,16255,23575,8248,10979,14103,10785,15999,9239,16022,10541,9819,4521,13031,5281,20807,9899,5766,9261,16387,9576,7313,3938,13782,13512,14006,5092,5689,5256,4776,5373,5140,5045
1.62_227.20,FA 14:0 (myristic acid) ,[M-H]-,TUNFSRHWOTWDNC-UHFFFAOYSA-N,227.2026,1.621,295297,300576,236972,273604,156256,290094,175147,157301,173656,167085,239293,354282,572567,237326,112232,116371,487846,127840,122500,110325,139329,240856,119008,140592,122824,109346,121873,479604,102918,146247,110252,99239,135602,143008,117414,116344,118548,138971,143345,168253,222972,156592,115125,135280,186667,144103,90128,94583,144194,125119,107123,117273,108686,130162,270881,199241,192184,219618,241309,234554,233045,170351,175118,167357,162829,175519,170798,170826
1.19_225.19,FA 14:1 (physeteric acid) ,[M-H]-,AFGUVBVUFZMJMX-KTKRTIGZSA-N,225.1864,1.194,4094,5309,3116,3665,3430,4505,2339,3719,4198,4591,5026,4632,11206,3273,3053,4180,6586,3656,3252,2577,4084,48489,2656,3902,6047,3890,2831,67477,2567,3043,3222,2276,2721,2893,3275,3419,4191,4511,5520,5611,6787,3900,3091,3755,7029,4155,2450,2841,3372,2810,3708,2706,3331,2782,11885,10675,9391,10785,10397,11182,11449,4246,5147,4567,4583,4622,4767,4275
2.03_241.22,FA 15:0 (pentadecylic acid) ,[M-H]-,WQEPLUUGTLDZJY-UHFFFAOYSA-N,241.2182,2.033,54380,53808,48504,51003,48498,56924,49348,76975,57649,49188,51440,65351,267091,42747,37551,42661,147975,55602,52979,44272,59188,141648,52282,63330,66385,60232,55543,393041,47123,43560,51152,48491,53652,69668,53762,49293,52626,68513,70368,66900,78860,89137,59318,68991,85598,76632,45065,52781,67551,65052,57698,66055,59687,69217,99641,65360,59294,66173,76518,67589,69239,59020,85723,63742,56814,64015,60646,59523
1.48_239.20,FA 15:1  ,[M-H]-,DJCQJZKZUCHHAL-VOTSOKGWSA-N,239.2021,1.484,3844,5380,4336,3965,3506,5076,3214,4521,4395,4691,3986,4778,11856,3268,2513,3311,7940,3947,3168,2833,4294,63004,3134,5064,6944,4203,3577,107620,2741,4053,3270,3247,3941,4430,3760,4102,5197,6027,7372,5553,9028,4794,3501,3957,7730,5076,2777,3676,4949,3920,4123,3535,3745,3213,6102,3238,3033,3533,3508,3434,3527,5626,6480,4988,5233,5663,5481,5517
