,,,,,,Label,S4.1 L,S4.2 L,S4.3 L,S4.4 L,S4.5 L,S4.6 L,SR.1 L,SR.2 L,SR.3 L,SR.4 L,SR.5 L,SR.6 L,S30.1 L,S30.2 L,S30.3 L,S30.4 L,S30.5 L,S30.6 L,PR.1 L,PR.2 L,PR.3 L,PR.4 L,PR.5 L,PR.6 L,P4..1 L,P4.2 L,P4.3 L,P4..4 L,P4..5 L,P4.6 L,P30.1 L,P30.2 L,P30.3 L,P30.4 L,P30.5 L,P30.6 L,TR.1 L,TR.2 L,TR.3 L,TR.4 L,TR.5 L,TR.6 L,T4.1 L,T4.2 L,T4.3 L,T4..4 L,T4..5 L,T4.6 L,T30.1 L,T30.2 L,T30.3 L,T30.4 L,T30.5 L,T30.6 L,Biorec001,Biorec002,Biorec003,Biorec004,Biorec005,Biorec006,Biorec007,MtdBlank001,MtdBlank002,MtdBlank003,MtdBlank004,MtdBlank005,MtdBlank006,MtdBlank007,PoolQC001,PoolQC002,PoolQC003,PoolQC004,PoolQC005,PoolQC006,PoolQC007
5.39_775.60,1_SM d18:1/17:0 iSTD ,[M+CH3COO]-,YMQZQHIESOAPQH-JXGHDCMNSA-N,775.5984,ESI (-),5.391,488375,405297,459070,415507,337684,418532,514279,426221,444999,378478,430583,350824,555828,401701,536245,493294,401446,362416,358312,364969,325820,357628,356761,340413,377687,337548,312951,528613,410061,400335,429933,475181,391953,443901,545234,499331,370353,368399,413047,397967,358435,374261,384102,405300,380572,369900,372715,421166,356009,383451,389227,383878,382274,350479,661461,570483,573146,583702,597180,650198,645553,665113,618700,627054,623831,632080,693982,691313,405009,388029,402670,394114,381939,405112,396271
5.94_536.51,Cer 34:1;2O|Cer 18:1;2O/16:0,[M-H]-,YDNKGFDKKRUKPY-ORIPQNMZNA-N,536.506,ESI (-),5.939,241383,402489,364962,503617,521329,357818,99584,279188,272206,515426,408684,663545,39669,646188,200155,212908,347592,592349,939023,1115585,856161,402636,934496,423840,630850,908777,630882,78896,502682,565351,324961,299103,159007,248276,123427,174437,276182,295427,281983,281400,255222,300633,255616,255861,340630,330661,279189,291007,162191,284130,460390,195875,227114,178468,18353,13958,4013,13301,14569,17475,18362,248,209,219,203,152,207,350,385942,457999,411771,389391,384123,412362,406672
6.16_610.50,Cer 34:2;3O|Cer 18:1;2O/16:1;O,[M+CH3COO]-,MTMFYNCXHZGCTK-QSXOLRLTNA-N,610.4985,ESI (-),6.159,49743,60302,70326,86382,31221,40217,47128,145858,36674,83456,105509,48008,15746,154715,29718,32132,29767,155432,347496,436646,329892,256350,266375,245343,159863,412296,257689,48216,124148,201757,85691,49310,43301,93407,52303,34135,40582,69484,43549,64514,57750,93543,48270,47295,111405,52751,56188,24420,33750,52636,77925,52755,44018,35041,1219,119,76,67,6.71,6.71,132,1029,6.71,103,6.71,6.71,6.71,6.71,162975,62135,82421,93482,137439,174239,170748
6.67_564.54,Cer 36:1;2O|Cer 18:1;2O/18:0,[M-H]-,VODZWWMEJITOND-OWWNRXNENA-N,564.5371,ESI (-),6.666,54996,65798,53042,75983,88431,70644,12403,35066,35540,95942,88481,125068,9114,166415,31887,46212,76939,203157,446537,538463,376769,195429,333081,149620,332412,297406,254849,24167,297831,283543,133520,131493,80278,117367,53791,48076,72685,66499,72490,76625,94016,83700,61727,42100,93148,98370,79831,88719,44890,60398,98026,54443,77391,43823,4223,2502,1168,3026,3357,3974,4009,633,420,470,455,447,546,566,128469,119439,116189,117530,119261,131805,133426
6.16_634.54_6.17_574.52,Cer 37:3;2O|Cer 19:3;2O/18:0,[M+CH3COO]-_[M-H]-,JMAMJHVAFHHKCP-MZTCKNHJNA-N,634.5439_574.522,ESI (-),6.163,85014,54835,136734,146249,90859,93879,25671,126197,65963,99000,84768,59339,7940.2,206148,29950,30421,68981,210669,533478,630526,593775,307998,871290,398548,438904,554643,451605,22736.2,308295,355507,118895,95112,70892,107840,36204,52279,97940,145291,103144,68024,123801,100230,137265,65289,104164,138236,88579,53456,43533,66493,69623,48334,54572,30965,918.2,310.2,110.09,240.2,181.2,110.09,218.2,544.2,225.2,110.09,110.09,110.09,110.09,110.09,201038,167799,170289,168999,177617,206452,201770
8.06_620.60,Cer 40:1;2O|Cer 18:1;2O/22:0,[M-H]-,KEPQASGDXIEOIL-LAPDZXRHNA-N,620.6002,ESI (-),8.065,206085,180576,206466,196822,145430,189749,48215,104996,106622,421328,313203,310356,39390,435723,120256,226815,202714,387035,370762,301536,275248,267976,468407,298471,286851,300951,285565,36144,194396,204610,268272,207436,129450,159679,78488,103306,80311,69795,66601,74265,76301,72920,60846,50549,103170,92748,70727,80467,91309,100353,150465,101610,94368,105987,15669,10840,4821,11015,12460,14163,14193,163,177,10.17,10.17,102,116,128,172586,166429,165040,162236,166270,176172,177106
7.36_618.58,Cer 40:2;2O|Cer 16:1;2O/24:1,[M-H]-,UQKIGQZPZLUGRA-PDQWDRSSNA-N,618.5846,ESI (-),7.358,462454,563017,616642,631470,526610,508457,126873,354918,538353,965860,796918,1187976,92848,951513,287031,411122,536247,1106089,1626522,1750087,1562810,1008476,1741240,1145154,1315595,1090633,1290634,102782,1004081,1194856,340236,273484,240250,301314,118668,124777,375910,211794,256317,234086,303622,341448,276497,138081,356821,384172,279222,244882,169414,233288,348136,197770,219011,147060,566,553,242,526,451,831,889,19.13,19.13,19.13,19.13,19.13,19.13,191,593307,566346,575890,568310,559647,605837,601645
6.76_676.59,Cer 40:3;2O|Cer 16:1;2O/24:2,[M+CH3COO]-,URYITPQMSMOEOZ-ZJGVNGLSNA-N,676.59,ESI (-),6.761,155629,250740,218653,266793,288024,270225,41652,178395,214046,438028,362292,674271,27405,491413,114252,134325,216891,619398,888366,886014,651945,335778,597644,389840,591673,543348,463961,42223,439673,489485,138346,120018,90982,122960,45334,50485,149714,76067,95245,91248,111667,122703,116611,51131,142004,128138,95376,125391,67041,93017,149361,91145,88687,71182,316,336,11.05,262,284,493,400,11.05,11.05,11.05,11.05,11.05,11.05,11.05,235904,230690,224537,221024,214242,243055,242244
7.61_692.62,Cer 41:2;2O|Cer 17:1;2O/24:1,[M+CH3COO]-,IHCUODHUCJDYIO-XDORPINWNA-N,692.6208,ESI (-),7.612,356636,314790,371698,347937,240037,475407,75905,139706,409711,413063,528399,724366,79466,590375,159686,258669,396438,616890,758359,816277,564708,618825,475053,606517,624445,479408,410952,17635,498844,374674,401098,276536,249452,289816,102288,192210,77307,28399,62379,58662,74510,75010,70182,26037,83458,101147,69046,104369,148420,161846,146017,231358,121575,85358,3.7,189,206,3.7,108,139,324,3.7,183,3.7,3.7,3.7,3.7,151,278957,262972,269637,267906,262296,279642,278198
8.25_708.65,Cer 42:1;2O|Cer 18:0;2O/24:1,[M+CH3COO]-,WLDYKNUYRLBSJM-VXPUYCOJNA-N,708.653,ESI (-),8.248,220333,697231,856446,511876,239835,395006,282530,241387,183006,1160126,277928,797729,55150,644078,326643,456997,112946,303426,366352,338899,189231,210681,237697,425313,418298,699981,108483,140334,110840,153032,229644,289639,87160,198799,108922,198701,311787,296388,238610,392669,272489,282909,217475,342143,460472,451160,258387,374519,743256,603611,757105,444282,341060,510589,6299,4598,2202,4646,4538,5663,5455,186,106,9.64,286,146,137,112,364505,453516,434793,408530,384469,389433,384634
8.70_648.63,Cer 42:1;2O|Cer 18:1;2O/24:0,[M-H]-,ZJVVOYPTFQEGPH-MHAUTQJVNA-N,648.6312,ESI (-),8.699,174400,167734,124188,143678,143755,98314,30312,56632,46698,456446,125052,242836,28330,301328,123566,178145,157158,238497,293484,122131,128051,87414,192595,108583,122859,190624,147178,17757,96213,75968,349207,155898,96639,129192,55255,64513,61925,56560,44811,84681,50199,41050,39463,49621,109082,68952,61323,77096,88228,90880,123187,80455,67966,120752,108563,72606,24806,81360,85006,96947,98198,309,388,231,194,352,192,303,120594,108374,116853,115031,114159,119746,116678
8.02_646.62,Cer 42:2;2O|Cer 18:1;2O/24:1,[M-H]-,HZPUWSUHFOTSAY-AKTWBEBINA-N,646.616,ESI (-),8.02,336595,620266,405475,450249,536880,378414,114326,259030,242341,1252536,395960,943825,77712,702661,361692,483178,308330,744767,621109,548837,417190,213559,538803,247401,362672,647654,397330,60809,280967,273160,300960,267576,163990,214124,108824,116013,163494,148599,129135,155999,144643,143317,127272,134916,185353,174392,126846,145781,189583,173788,256426,151425,141713,225455,12689,8410,3783,8872,9274,11163,11026,303,102,143,10.23,10.23,109,10.23,310952,298495,300410,279631,293742,311421,308099
7.44_704.62,Cer 42:3;2O|Cer 18:1;2O/24:2,[M+CH3COO]-,GGSZJXUUQMDAST-PKPBCWLKNA-N,704.621,ESI (-),7.443,122526,304711,182013,194093,266223,206369,50161,149060,110726,649402,169353,512144,30298,340286,161734,167332,135740,329343,252965,224999,143344,72097,141034,89797,138460,275325,106686,30855,115319,110507,115539,118048,61142,87428,45004,50522,71878,62519,53597,63416,57766,57418,59319,59598,75473,66614,46926,73106,98416,80723,121214,77716,59810,118525,10276,6408,3349,7026,7217,8766,9237,166,174,10.64,10.64,10.64,10.64,10.64,139232,126017,127493,123469,121256,133747,133250
6.93_702.60,Cer 42:4;2O|Cer 18:1;2O/24:3,[M+CH3COO]-,MRVHMHLOVRJTKO-XZEUHWMINA-N,702.6041,ESI (-),6.931,20582,45485,25834,25436,38754,40373,8746,22525,17082,86324,26763,74144,5184,44509,22326,24804,24742,45807,46345,42594,25516,14792,19596,15693,26673,41279,16180,4447,20290,18428,17435,18296,7351,13169,6738,9134,11882,7857,8599,9512,9323,9268,9132,8755,10306,9731,6889,14283,11997,11360,16566,12764,9251,16160,360,489,135,31,363,35,203,190,87,3.14,3.14,97,3.14,3.14,19675,19948,18539,18522,18373,20109,19369
8.95_722.67,Cer 43:1;2O|Cer 18:1;2O/25:0,[M-H]-,,722.6676,ESI (-),8.952,46530,52261,52129,114724,112693,83338,12935,16992,43266,252239,85991,164684,12119,322750,45006,83129,182702,224260,141928,72761,66484,80618,123699,103495,96844,167314,59073,11411,79979,56355,131243,174906,113918,156175,47817,54366,24753,39161,19693,55371,40095,31067,16390,36558,91419,59389,56604,28255,80371,85183,116509,58167,71634,100213,7252,5224,4020,10577,6472,12791,13103,114,558,643,65,166,631,774,49346,50932,113497,112754,108472,113043,111698
8.25_720.65,Cer 43:2;2O|Cer 17:1;2O/26:1,[M+CH3COO]-,NZZFYKXWXQOTDS-NZKWQJBINA-N,720.6523,ESI (-),8.247,95271,127535,110633,100037,91332,200480,32326,65480,157771,193391,172903,241471,21866,325732,57472,70378,167500,204140,285046,326210,248514,248014,149065,206049,271439,225353,122456,15203,181374,159749,116958,145180,109918,85754,60604,84808,37518,27161,34090,31916,41364,33344,41550,18180,33043,49383,31376,50449,65882,51322,68049,54880,49427,37653,2870,2475,1095,2107,2419,2823,2902,10,146,100,10,10,10,10,107854,131846,128627,120654,112697,114840,113323
8.25_718.64,Cer 43:3;2O|Cer 19:3;2O/24:0,[M+CH3COO]-,MILKCDVENWVMCN-LOXIQTPCNA-N,718.6376,ESI (-),8.249,71996,41323,102325,75220,45718,53239,20603,50192,70069,101724,135940,62553,16404,236036,62003,56725,158681,279511,181224,189866,258114,142684,306012,186097,157972,187197,126106,29597,122254,138182,184192,144878,231200,112124,69461,84947,47296,84829,36158,21805,71176,23612,73833,20332,44523,40510,27945,47465,59807,30470,56999,45832,36345,34476,369,184,152,10.78,10.78,10.78,179,10.78,155,10.78,108,10.78,10.78,10.78,93890,116978,113930,106316,97871,102191,98955
7.55_716.62,Cer 43:4;2O|Cer 19:3;2O/24:1,[M+CH3COO]-,JIDIMSKRDPEDAK-JIEJFRBPNA-N,716.6215,ESI (-),7.552,68121,73664,116552,150216,105897,48889,23585,67005,109806,154962,157061,174141,16194,204582,63267,66505,98640,390976,324835,279896,313460,164018,528754,204297,198310,249488,247021,28637,185212,206443,193029,124559,191441,145137,66203,63398,54855,63247,31534,23677,63454,30240,79491,24215,46894,36554,27322,52949,74110,40255,63930,62116,30165,52764,9.03,116,9.03,9.03,125,9.03,9.03,9.03,90,9.03,9.03,9.03,9.03,9.03,124451,116615,114044,112238,113908,123217,120291
8.64_734.67,Cer 44:2;2O|Cer 18:1;2O/26:1,[M+CH3COO]-,AQKMDEJRGNVGLA-GHFDWVPINA-N,734.668,ESI (-),8.641,137167,291539,126655,187757,233199,110371,27112,57868,77190,603790,109414,429016,24576,359231,195580,188855,153462,311342,333004,164040,134754,65148,171615,69634,128805,237356,169882,16761,105690,85753,351211,153548,96595,120604,54966,57467,60254,47840,42855,88946,49931,37797,42773,50696,80114,60420,55561,79070,78307,59647,102863,52373,54090,114830,7115,6154,2333,6351,5703,7092,6816,10.56,207,10.56,112,148,120,10.56,123947,118268,125059,123375,119125,127104,129341
8.09_732.65,Cer 44:3;2O|Cer 18:1;2O/26:2,[M+CH3COO]-,JZQKFRLGUWODQG-QFFRIRBTNA-N,732.6523,ESI (-),8.085,12436,23447,15204,17961,25044,17830,4128,11110,10434,48948,18612,44732,2802,46383,15094,20767,17250,37337,24481,19546,15145,10694,18166,11665,18450,22758,15020,3077,12885,12599,24353,17359,11948,12736,6631,8222,7359,5804,5590,6829,6153,4895,5429,5478,7590,6696,4962,7876,10930,7991,12720,8633,6994,15238,473,554,328,277,337,447,430,9.23,92,158,9.23,9.23,9.23,9.23,14095,13962,14111,12967,12434,14108,13876
9.23_762.70,Cer 46:2;2O|Cer 18:1;2O/28:1,[M+CH3COO]-,KFZMUAGKFGPIPH-KTWZRITNNA-N,762.6997,ESI (-),9.234,4272,11071,6708,8645,14987,8559,2550,3411,5437,13151,6327,10161,1589,20371,8207,4408,9966,16223,13091,9318,11987,7372,9029,7273,15549,18136,5976,1380,11055,11044,25876,21011,11168,13744,6955,7741,4290,2840,4474,4077,4495,3089,3824,3701,4443,5353,3537,5682,6983,4863,7947,3764,5266,7011,397,10.83,244,417,192,427,425,10.83,10.83,151,262,108,264,165,8349,10944,9384,8823,8662,9179,8650
5.23_568.50_5.23_544.45,Cer d32:1 ,[M+CH3COO]-_[M+Cl]-,ZKRPGPZHULJLKJ-JHRQRACZSA-N,568.4957_544.4513,ESI (-),5.231,818178,680275,833019,862291,588690,601978,390608,539820,611626,734071,819486,706874,203390,929725,561503,598544,546045,900274,1653953,1496441,1709197,1490560,1813098,1483685,1529091,1351568,1609214,341373,1031683,1335289,497870,482354,362541,460556,293547,296397,310166,291295,329044,240701,342156,342829,269353,201849,362688,384200,376629,248033,185929,322630,422725,244774,301484,116683,9441,5384,2653,6090,8517,9457,9660,238.98,90.5,166.5,199,147.98,260.98,18.48,685123,636441,716189,711337,701137,734123,719325
5.58_582.51_5.58_558.47,Cer d33:1 ,[M+CH3COO]-_[M+Cl]-,QBFXCLDNTKBAPQ-STSAHMJASA-N,582.5118_558.4671,ESI (-),5.5795,107707,115587,139632,152416,127761,112036,61276,115795,111573,152714,176039,187720,34549,227967,81669,79867,110751,224022,270445,282206,266357,186246,265725,176188,183257,279605,177113,50959,145254,194400,93886,83140,59061,79817,52782,56177,81821,75728,75860,70985,83834,93180,73877,57480,92797,86954,86944,62599,44646,77130,101829,64654,70244,36107,16538,6399,5001,9248,11897,16109,15714,4180,2502,2839,3343,4022,5076,5273,130122,117217,113590,120024,131128,141287,138035
6.19_598.54_6.19_574.50,Cer d34:0 ,[M+CH3COO]-_[M+Cl]-,GCGTXOVNNFGTPQ-JHOUSYSJSA-N,598.5427_574.5033,ESI (-),6.1895,78776,98604,74752,106764,110696,97783,50734,63197,48987,137550,121264,148271,11117.84,146116,50098,56342,59289,102986,313235,448210,171113,92917,173211,59182,102801,299285,116131,45345,100703,111904,82554,44891,23761,58792,29310,28052,77749,107257,78298,141799,87467,120472,65926,127472,225492,110940,121151,110687,57669,104889,149719,77564,64870,90525,18280,7789,4890,10766,13639,17969,18783,2202.84,1362,1603,1733,1692.84,2294.84,2182.84,135820,81556,92671,90938,115549,144887,142168
5.94_596.53_5.95_572.48,Cer d34:1 ,[M+CH3COO]- _[M+Cl]- ,YDNKGFDKKRUKPY-TURZORIXSA-N,596.5275_572.4828,ESI (-),5.942,1178505,2008348,1492579,2054529,2131802,1367172,758442,1637795,1134013,2503459,2226415,3055316,328213,3141854,979991,1080559,1283744,2869673,4526510,5181006,3764308,2106039,3275399,1758172,2263698,4343030,2473154,662172,2063627,2625784,1705775,1350305,757624,1424869,808893,766398,1174922,1378718,1158180,1574686,1331777,1616914,916893,1334412,1770024,1391388,1404009,1052622,860887,1564747,2345301,1137095,1260419,982263,127695,63002,26106,71021,98767,122230,124240,2157,1342,1263,1477,2254,2437,2574,2054511,1578519,1627697,1766694,1992937,2142840,2139632
5.34_594.51_5.32_570.47,Cer d34:2 ,[M+CH3COO]-_[M+Cl]-,XXWRZIYYFPIQHE-XPAOSYCESA-N,594.5113_570.4672,ESI (-),5.3285,5146,9842,6115,8554,7472,6080,3403,7868,6762,9090,10302,11927,1997,8248,5182,4659,6604,9995,20262,22495,30238,19744,30645,17649,12341,16275,19613,2935,16572,33621,5097,4202,3993,5623,4300,2975,4956,4878,5303,5122,5399,6100,3969,3462,5999,5509,6177,3902,2294,3044,3961,2557,3331,2222,11225,6117,3525,8215,10053,11293,11020,132.88,104.8,237.8,85.8,390,314,218,9857,7194,8538,9392,10263,10663,10330
6.67_624.56_6.67_600.51,Cer d36:1 ,[M+CH3COO]-_[M+Cl]-,MJQIARGPQMNBGT-WWUCIAQXSA-N,624.559_600.514,ESI (-),6.6675,332034,492379,290374,482115,451893,410404,117960,308803,227011,594131,676149,812124,87030,1055790,215215,309751,398539,1275396,2644728,3171778,2127308,1516790,1642542,1009668,1792677,2044119,1558599,256509,1668060,1797813,1018692,881632,568558,926653,513376,360546,422592,420443,435739,620801,586851,645750,335907,330103,667839,584230,511325,455302,281895,401712,696297,396407,597651,317317,40573,16815,9052,22614,31226,37628,38340,6848,3003,3188,3058,4618,5998,6793,959937,638550,721879,760340,885344,1014316,1009927
7.38_652.59_7.39_628.55,Cer d38:1 ,[M+CH3COO]-_[M+Cl]-,XWBWIAOWSABHFI-NUKVNZTCSA-N,652.5897_628.5455,ESI (-),7.3875,1044910,1040878,1101061,1144501,850173,1139986,373932,801595,764115,1736213,1945075,1678668,287224,2409674,622551,866553,1192141,2331149,2900715,2964956,2414813,2256658,2171929,2051496,2362698,2458298,1786693,378608,1767992,1936152,1847466,1582123,999366,1371343,777348,813888,706952,600811,585543,722837,733199,816296,490319,434283,966966,847810,650208,641553,721795,902602,1270126,863436,923088,724878,25978,12299,6560,16141,20623,25179,25955,927,552,501,670,1573,1446,1901,1409347,1076677,1189982,1231876,1326474,1421853,1409804
7.73_666.61_7.74_642.56,Cer d39:1 ,[M+CH3COO]-_[M+Cl]-,WYSRACVJQVNCRW-PQPBPFPMSA-N,666.6056_642.5612,ESI (-),7.7345,906941,722472,1002789,1077105,891190,891143,419375,714751,813976,1353100,1899183,1346881,305325,1810764,703321,571329,842325,1996257,2227208,1822811,1752917,1887195,2386378,2240309,1777644,1713957,1212280,271371,1338098,1789826,1343900,1085251,881791,954743,405574,477941,734040,442261,407339,354941,534616,534237,385112,234048,598078,596634,450970,298908,373800,576286,703137,534675,551864,349812,12559,6607,3567,8707,10142,12010,12345,767,373,448,587,1173,950,1419,1240182,1246037,1281887,1237636,1228417,1352158,1324072
8.28_682.64_8.28_658.59,Cer d40:0 ,[M+CH3COO]-_[M+Cl]-,SXPRAKSDHOEHIG-ZESVVUHVSA-N,682.637_658.593,ESI (-),8.2805,60372,123103,152441,101006,61521,84077,68338,53446,31547,233066,82320,138641,23616,193495,66955,98051,68213,98467,114920,111908,62192,64053,71066,92807,101275,162514,41641,41080,48085,55199,178245,171703,52099,122352,74129,127224,104312,97491,87845,151354,96652,117055,67029,114155,179759,161039,101241,128881,342889,291224,374007,242296,163442,257393,26699,14329,8506,20082,22032,25892,25364,2688,2194,2155,2195,2674,3173,2715,126238,115694,124759,127435,126957,137980,135623
8.06_680.62_8.07_656.58,Cer d40:1 ,[M+CH3COO]-_[M+Cl]-,KEPQASGDXIEOIL-GLQCRSEXSA-N,680.6214_656.5768,ESI (-),8.0675,1467609,1481729,1497468,1508382,1231375,1385436,518895,1051397,865781,2718691,2659217,2223328,407190,3376214,1060790,1415640,1608664,3127953,3016717,2730813,2485615,2435938,2662355,2566561,2257274,2616739,1924504,410516,1650945,1910136,2344777,1860101,1295684,1581810,884115,966145,790414,735214,630638,799440,755614,811968,504728,541512,1122276,899782,703658,622017,936214,1061913,1566119,1093597,1042610,1052342,184547,90057,47867,116616,141080,170892,172938,2183,1424,1380,1205,2119,2299,2598,1621730,1214815,1381892,1417100,1559007,1672460,1650690
7.36_678.61_7.36_654.56,Cer d40:2 ,[M+CH3COO]-_[M+Cl]-,HILTUFAERVOALR-MQXYEJFFSA-N,678.6067_654.562,ESI (-),7.3575,3205017,4126906,4122916,4435640,3988993,3423519,1350132,3143323,3808096,6190980,5947677,7728019,945170,6681888,2433472,2756502,3567097,7772554,10049971,10632724,9465943,7284302,9239763,7605371,8136921,7743473,7781822,1211027,6121614,7691917,3015424,2424942,2236709,2803163,1323996,1243228,2871308,1912776,2108068,2321572,2722247,3114594,2014862,1465827,3132633,2957594,2368905,1799981,1690328,2192178,3148615,2004043,2312086,1503268,8021,4311,2319,4579,6302,7485,8386,550,567,400,432.69,1031,1075,3128,4696524,3786243,4105905,4191847,4450052,4835268,4773939
8.39_694.64_8.38_670.59,Cer d41:1 ,[M+CH3COO]-_[M+Cl]-,NAJHAHQNQCNWOP-PUYNVXOJSA-N,694.637_670.5922,ESI (-),8.385,692037,699168,833177,707472,634139,524327,254506,503120,316516,1859018,1201801,1222577,173901,1908062,616224,669873,790438,1708193,1244575,1078045,998170,798201,1096759,992807,765335,1157314,750161,161243,571295,685641,1136413,763361,584087,691959,323442,342090,413027,370790,275084,334264,346948,350398,238250,229999,531073,399650,326058,250393,437832,508469,717234,518008,454665,510725,174697,90260,43511,113295,140192,165117,167007,1606,1146,1031,897,1834,1914,1686,713803,509742,582214,601488,673984,749545,739910
8.90_710.67_8.90_686.62,Cer d42:0 ,[M+CH3COO]-_[M+Cl]-,BPLYVSYSBPLDOA-WVILEFPPSA-N,710.6681_686.6237,ESI (-),8.901,42655,90090,109228,101466,53090,58364,53474,35716,23959,119420,57808,87254,23091,145756,60104,62540,122694,69159,66583,70473,46044,52346,66620,85235,69704,112631,27656,26018,31118,37759,82831,83691,38130,65644,37584,59849,98655,77764,70256,119553,77134,93136,53158,98038,168696,130405,90073,90120,264474,236015,298166,199517,126190,180793,38526,21426,11597,28243,30758,37897,37285,3591,2805,2574,2866,3170,3707,4176,90495,88682,91980,90920,89899,100427,96616
8.68_708.65_8.69_684.61,Cer d42:1 ,[M+CH3COO]-_[M+Cl]-,ZJVVOYPTFQEGPH-AUTSUKAISA-N,708.6527_684.6082,ESI (-),8.6855,1051602,1193063,963947,1004705,1088745,803727,354183,632018,385324,2664571,1270588,1633665,268226,2665260,935997,1031668,1178693,2259994,1838431,1375038,1159966,798320,1109509,966598,950307,1667704,816262,222446,714945,779917,2309341,1438009,984278,1201533,631009,689519,544377,595967,409806,730430,503572,479773,353147,478252,981277,611052,486822,525800,887809,863583,1343089,854863,742801,1082956,967402,545695,222583,706700,796070,930041,951229,3867,2437,1969,2173,3554,3637,3457,1037255,795473,907105,936533,991701,1107866,1108500
8.02_706.64_8.02_682.59,Cer d42:2 Isomer A ,[M+CH3COO]- _[M+Cl]- ,VJSBNBBOSZJDKB-KPEYJIHVSA-N,706.6399_682.593,ESI (-),8.0185,2645452,5099739,3395242,3679611,4617891,3008575,1368236,2848663,2146332,8406078,3697518,7101952,923600,6028162,3218164,3330551,2732380,6415667,5219755,5198017,3896509,2294199,3416377,2414235,3068144,5622618,2937386,797096,2515577,2771534,2956096,2631630,1763860,2290520,1306894,1244594,1730516,1660098,1353015,1872363,1685500,1709768,1216904,1703677,2155848,1826456,1393736,1310718,2129817,1936984,2936325,1765133,1728052,2420970,158523,78758,40563,101341,123048,146701,147483,2865,1014,651,633,1459,943,2362,3089406,2435053,2725953,2735918,2915848,3218295,3167300
8.14_706.64_8.14_682.59,Cer d42:2 Isomer B ,[M+CH3COO]- _[M+Cl]- ,VJSBNBBOSZJDKB-KPEYJIHVSA-N,706.6362_682.5924,ESI (-),8.139,115965,244792,173372,157259,175483,115751,64525,119860,91613,558521,177917,360554,38381,356210,143093,143645,128498,316631,252067,234665,182803,115005,166523,124812,129185,284222,131336,32821,105546,131431,181164,158141,116966,136104,68939,76922,92340,76622,64158,75624,83687,85514,57988,78654,113177,86646,67293,60867,103417,99350,158137,96455,95717,119910,110404,55156,28412,69996,85934,100258,104063,374,320,269.07,359,225,121.08,230,157987,101208,117548,128927,142350,143352,139001
